_id,ltable_id,rtable_id,ltable_Unnamed: 0,ltable_name,ltable_genus,ltable_family,ltable_ecology,ltable_countries,ltable_threat_paragraph,ltable_conservation_paragraph,ltable_pop_trend,ltable_status,ltable_country_count,ltable_scientific_name,ltable_block,rtable_Unnamed: 0,rtable_scientific_name,rtable_name,rtable_kingdom,rtable_phylum,rtable_class,rtable_order,rtable_family,rtable_genus,rtable_size,rtable_threats,rtable_conservation,rtable_threat_keywords,rtable_conservation_keywords,rtable_tCount,rtable_cCount,rtable_block,label
1380024,2814,174,2814,,Mammillaria,Cactaceae,Terrestrial,Mexico (San Luis PotosÃ­); ,"
    This cactus is threatened by illegal collecting, both commercial and amateur, and despite the legal measures in place this is still very evident at present. A highway was also built through one of the subpopulations. Mining of limestone for road construction is also a threat. The area is close to the state capital which is growing rapidly, hence human pressures on the area are increasing.

    
  ","['\n    This species is listed on CITES Appendix II, but there is a need to enforce the laws in the countries of destination.', <br/>, 'Twenty eight per cent of the known localities are within protected areas.', <p>This species is legally protected in Mexico by the national list of species at risk of extinction, NOM-059-SEMARNAT-2010, where it is listed under category â??subject to special protectionâ?? (Pr; SEMARNAT 2010).</p>, ' ', <p>Â </p>, '\n']",Decreasing,"
    Endangered


    B1ab(ii,iii,v)+2ab(ii,iii,v)

    ",1,Mammillaria aureilanata,yes,174,Mammillaria pectinifera,cactus ,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae(1),Mammillaria ,Stem diameter: 3 cm (2)Flower length: 2.5 cm (2),Collectors have prized this distinctive and unusual cactus over the years and well-known sites have suffered from extensive exploitation (2). Only two populations of <em>Mammillaria pectinifera</em> are currently known to persist in the wild and their position is increasingly precarious due to the small isolated number of individuals and ongoing habitat disturbance. Quarrying and the dumping of rubbish are worrying threats in the area that contains the greatest number of individual plants (2).,International trade in plants and seeds of wild origin is banned by the listing of <i>Mammillaria pectinifera</i> on Appendix I of the Convention on International Trade in Endangered Species (CITES) (3). In addition the demand for this species is being increasingly met by seed-raised plants thus reducing the pressure on wild populations (2). Further field studies are needed in the area in the hope of uncovering additional wild populations; constant monitoring of known sites is also required in order to raise the alarm for a rescue mission should this become necessary (2). , ,cites; ,0,1.0,yes,0
8128364,7574,1026,7574,taylors salamander,Ambystoma,Ambystomatidae,Freshwater,Mexico (Puebla); ,"
    The most serious threat is water extraction and diversion. In 2004 this was recorded as having caused the water level to decrease over the previous two decades, leading to the lake becoming more saline. This is an ongoing problem for Laguna Alchichica with extracted water being used to irrigate agricultural land and provide drinking water to the expanding human population (P.A. Caballero pers. comm. August 2015); and continued transformation and pollution of the lake will result in the disappearance of this species. Attempts to introduce fish in the lake have failed because it is too saline.

    
  ","['\n', <strong><em>Conservation Actions</em></strong>, <br/>, 'It does not occur in any protected area, and the protection of the\xa0Laguna\xa0Alchichica is an urgent priority. This species is protected under the category Pr (Special protection) by the Government of Mexico.', <br/>, <em><strong><br/>Conservation Needed</strong></em>, <br/>, 'In addition, consideration should be given to establishing a captive-breeding programme.', <br/>, <strong><br/></strong>, <em><strong>Research Needed</strong></em>, <br/>, 'Population monitoring is necessary to monitor the impact of known, ongoing threats.\n\n    \n  ']",Unknown,"
    Critically Endangered


    B1ab(iii)

    ",1,Ambystoma taylori,yes,1026,Ambystoma mexicanum,axolotl ,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma ,Length: up to 30 cm (2)Weight of male: 125 â?? 130 g (3)Weight of female: 170 â?? 180 g (3),Whilst there are large numbers of axolotls in captivity around the world particularly in biomedical and physiological research laboratories numbers of wild axolotls are very low. Previously capture of this species for the international pet and research trade contributed to population declines but the axolotl now breeds well in captivity alleviating this threat. It was also captured for consumption by local people although numbers are now too low for this. The most significant threat to the axolotl is the increasing pollution of the lakes and canal system as Mexico City continues to grow (1). Land drainage flood control and sewage disposal methods from the 17th century to the present have all contributed to the destruction of the water system of Mexico City (3).,Recent stabilisation of axolotl numbers may be attributable to the restoration of the Parco Ecologico Xochimilco over the last 20 years. This protected area requires continued restoration to support the axolotl population which it is hoped may begin to increase with the introduction of captive-bred axolotls. The axolotl is protected under category Pr (special protection) by the government of Mexico (1). ,pet;pollution; ,protected; ,2,1.0,yes,0
1380027,2817,174,2817,,Mammillaria,Cactaceae,Terrestrial,Mexico (QuerÃ©taro); ,"
    Illegal collecting, deforestation of deciduous forests, and grazing (trampling) all impact the species and are causing a population decline.

    
  ","[""\n    This species is listed on CITES Appendix II, but enforcement of the laws in the countries of destination is needed. The small decline in number of mature individuals does not constitute a major threat at present but needs to be monitored. Research is needed in order to better establish the population size and trend. It is necessary to conserve the remaining habitat where this species' is found."", <br/>, <br/>, 'The subpopulation found in Tequisqueapan occurs within a ranch of fierce cattle which gives some protection to the species because the access is difficult  (E. SÃ¡nchez pers. comm. 2011).', <br/>, <br/>, 'A micropropagation technique has been developed at the Cadereyta  Regional Botanical Garden with a rate of 4x/4 weeks, with 100% soil  adaptation success (E. SÃ¡nchez pers. comm. 2011).', <p>This species is legally protected in Mexico by the national list of species at risk of extinction, NOM-059-SEMARNAT-2010, where it is listed under category â??subject to special protectionâ?? (Pr; SEMARNAT 2010).</p>, '\n']",Decreasing,"
    Endangered


    B1ab(iii,v)

    ",1,Mammillaria microhelia,yes,174,Mammillaria pectinifera,cactus ,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae(1),Mammillaria ,Stem diameter: 3 cm (2)Flower length: 2.5 cm (2),Collectors have prized this distinctive and unusual cactus over the years and well-known sites have suffered from extensive exploitation (2). Only two populations of <em>Mammillaria pectinifera</em> are currently known to persist in the wild and their position is increasingly precarious due to the small isolated number of individuals and ongoing habitat disturbance. Quarrying and the dumping of rubbish are worrying threats in the area that contains the greatest number of individual plants (2).,International trade in plants and seeds of wild origin is banned by the listing of <i>Mammillaria pectinifera</i> on Appendix I of the Convention on International Trade in Endangered Species (CITES) (3). In addition the demand for this species is being increasingly met by seed-raised plants thus reducing the pressure on wild populations (2). Further field studies are needed in the area in the hope of uncovering additional wild populations; constant monitoring of known sites is also required in order to raise the alarm for a rescue mission should this become necessary (2). , ,cites; ,0,1.0,yes,0
10273630,7875,1297,7875,"el hierro giant lizard, hierro giant lizard",Gallotia,Lacertidae,Terrestrial,Spain; ,"
    The major threat to this species is predation by feral cats, and possibly also by dogs and rats. A remnant population was extirpated from the Roque Chico de Salmor in the 1930s through the overcollection of animals for scientific institutions and commercial interests. Control of feral cats stopped in in 2002.

    
  ","['\n    A recovery plan for this species has been developed, and captive-breeding and reintroduction programmes are in place. The species was successfully reintroduced to the Roque Chico de Salmor in 1999, and subsequent reintroductions have taken place at Julan and at la Dehesa. Continued control of feral cats should be resumed to allow population recovery. This species is protected by national and international legislation. It is listed on Appendix I of CITES. Both la Fuga de Gorreta and the Roque Chico de Salmor are protected areas.\n\n    \n  ']",Stable,"
    Critically Endangered


    B1ab(v)+2ab(v)

    ",1,Gallotia simonyi,yes,1297,Gallotia bravoana,la gomera giant lizard ,Animalia,Chordata,Reptilia,Squamata,Lacertidae,Gallotia ,up to 500 g (3),As with many island-dwelling species the La Gomera giant lizard is threatened by predators introduced to its habitat by humans such as rats and cats (2). Hunting by humans and overgrazing of its habitat by domestic livestock have also exacerbated this speciesâ?? decline (1). Due to the small fragmented nature of the remaining La Gomera giant lizard population it also at risk from chance natural events such as rock falls (1).,The remaining population of the La Gomera giant lizard is thought to number only around 90 wild individuals (1). This species is currently protected by international legislation and the majority of its range occurs within the protected rural park of Valle Gran Rey (1) (7). ,hunting; ,captive breeding;protected; ,1,2.0,yes,0
11768313,6623,1486,6623,,Schefflera,Araliaceae,Terrestrial,Malaysia (Sarawak); ,"
    Extremely threatened by urban expansion.

    
  ",,,"
    Critically Endangered


    B1+2c

    ",1,Schefflera kuchingensis,yes,1486,Schefflera procumbens,schefflera ,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,Schefflera ,Schefflera (1),<em>Schefflera procumbens</em> is thought to have become extinct on MahÃ© primarily due to the degradation of its habitat. The remaining population on Silhouette is unknown but is thought to be very small. The main threat to <em>Schefflera procumbens</em> is its very restricted range which makes it highly susceptible to the impacts of any threats and it may also be negatively affected by competition with invasive species poor sexual reproduction low <strong>genetic variability</strong> and limited dispersal (1).,No specific conservation measures are currently known to be in place for <em>Schefflera procumbens</em> and this species does not occur in any protected areas. New data on this rare plant is urgently needed to create an appropriate conservation plan (1). ,invasive;pet; ,protected; ,2,1.0,yes,0
2037017,2862,257,2862,,Cycas,Cycadaceae,Terrestrial,India (Andhra Pradesh); ,"
    This species is threatened by frequent grassfires that effectively block reproduction. The male cones are used in ayurvedic medicine, although the impact on populations is not known. The stems are also harvested for the extraction of the pith, which is used as treatment in the case of debility.  Land clearing may also have a negative effect on populations.

    
  ","['\n    This species is listed on Appendix I of CITES. ', <em>C. beddomei</em>, ' occurs in the Sri Venkateswara National Park.\n\n    \n  ']",Decreasing,"
    Endangered


    B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)

    ",1,Cycas beddomei,yes,257,Cycas circinalis,cycad ,Plantae,Tracheophyta,Cycadopsida,Cycadales,Cycadaceae,Cycas ,Trunk height: to 7 m (2)Trunk diameter: 12 â?? 27 cm (2),While in many areas <i>Cycas circinalis</i> remains abundant in others its habitat has been severely reduced and degraded (2). In addition this cycad is used in numerous ways by the local human population and some of this exploitation is having a negative impact on cycad numbers. <i>Cycas circinalis</i> is heavily harvested for its leaves with young leaves being used as food and medicine by indigenous and local communities and the mature leaves being sold in the floriculture industry (7). The biggest impact on <i>C. circinalis </i>populations however comes from the harvest of pith and male cone for the medicinal plant industry. While much of this harvest is illegal it is very difficult to patrol (7). It is not only the cycad itself that this harvesting may threaten; the harvesting of its seeds for human consumption appears to have little negative impact on <i>Cycas circinalis</i> populations but very heavy seed harvest could have an impact on the bats which reportedly feed on the seeds (7).,Significant populations of <i>Cycas circinalis</i> still exist in a number of national parks and forest reserves (2) which offers this species some protection. To reduce harvesting pressure on populations it has been suggested that people need to be encouraged to use substitutes. For example the floriculture industry could use leaves from cultivated palms that are faster growing. A substitute for the pith and male cone for the medicinal plant industry is not likely and thus in these cases populations need to be increased through cultivation (7). , , ,0,0.0,yes,0
5244688,4958,662,4958,,Cobitis,Cobitidae,Freshwater,Ukraine; ,"
    High levels of water abstraction, leaving very low levels of water in spring and summer. The abstraction rate is likely to increase so the river below Chornaya Gorge may end up dry. Currently the river only runs for about 1km below Chornaya Gorge in spring. Climate change also poses a threat to the species as the severity of droughts are predicted to increase.

    
  ",['\n    No information.\n\n    \n  '],Unknown,"
    Critically Endangered


    B1ab(ii,iii)+2ab(ii,iii)

    ",1,Cobitis taurica,yes,662,Cobitis calderoni,northern iberian spinedloach ,Animalia,Chordata,Actinopterygii,Cypriniformes,Cobitidae,Cobitis ,Length: up to 8.2 cm (2),The Northern Iberian spined-loach has declined in abundance and range in recent decades and has now disappeared from parts of the Duero and Ebro rivers with remaining populations also becoming more fragmented. The main threats to the species include gravel and water extraction water pollution dam construction the destruction of <strong>spawning</strong> areas and the introduction of exotic fish such as pike (<em>Esox lucius</em>) which may act as predators competitors or vectors of disease (1) (2) (3) (6) (7).,The Northern Iberian spined-loach is listed as Vulnerable in the Spanish Red Book (3) and as Endangered in the Portuguese Red Book (7). It is also listed on Annex III of the Convention on the Conservation of European Wildlife and Natural Habitats (Bern Convention) (11). ,disease;pet;pollution; , ,3,0.0,yes,0
10494998,7623,1325,7623,major black millipede,Doratogonus,Spirostreptidae,Terrestrial,South Africa (KwaZulu-Natal); ,,,Unknown,"
    Critically Endangered


    B1ab(ii,iii)+2ab(ii,iii)

    ",1,Doratogonus major,yes,1325,Doratogonus major,major black millipede ,Animalia,Arthropoda,Diplopoda,Spirostreptida,Spirostreptidae,Doratogonus ,,The single tiny forest area in which the major black millipede occurs is under threat from the extraction of wood by the local community for fuel and building and its population is also likely to be small putting it at increased risk of extinction (1).,The Gwaliweni Forest is managed by KZN Wildlife although wood extraction there continues (1). No specific conservation measures are known to be in place for the major black millipede and despite having an important role in ecosystems as nutrient recyclers (5) <strong>invertebrates</strong> such as millipedes tend to be overlooked in conservation policies (2) (7) with less than half of South Africaâ??s <strong>invertebrates</strong> even officially named (2). Some efforts are underway to collate information on these species such as the Green Trust Database of Threatened South African Invertebrates (2) and such initiatives will be important in improving the conservation of species such as this little-known millipede (1). , , ,0,0.0,yes,1
11150565,6245,1408,6245,,Shorea,Dipterocarpaceae,Terrestrial,Malaysia (Sarawak); ,"
    Habitat destruction.

    
  ",,,"
    Critically Endangered

      (Possibly Extinct)

    A1acd

    ",1,Shorea dispar,yes,1408,Shorea almon,philippine mahogany ,Plantae,Tracheophyta,Magnoliopsida,Theales,Dipterocarpaceae,Shorea ,Height: 70 m (2)Trunk diameter: 1.6 m (2),The Philippine mahogany has become depleted due to logging and <strong>slash-and-burn</strong> farming (2).  The moderately hard and comparatively light timber is in great demand for plywood (2) (3) and is also used for furniture boat decking and for many other purposes (2).,Despite being Critically Endangered it is not clear whether any conservation measures exist for this species. , , ,0,0.0,yes,0
4410715,2060,557,2060,light red meranti,Shorea,Dipterocarpaceae,Terrestrial,Malaysia (Sarawak); ,,"[""\n    This tree is protected under Sarawak's Wildlife Protection Bill (1990).  Some populations also occur in primary forest reserves.\n\n    \n  ""]",,"
    Endangered


    A1cd

    ",1,Shorea stenoptera,yes,557,Shorea leprosula,light red meranti ,Plantae,Tracheophyta,Magnoliopsida,Theales,Dipterocarpaceae,Shorea ,Height: up to 60 m (2),Light red meranti has been heavily exploited for its valuable timber leaving populations of this threatened tree drastically reduced (1).,The light red meranti is known to occur in some forest reserves (1). , , ,0,0.0,yes,0
6472297,5742,817,5742,vermilion darter,Etheostoma,Percidae,Freshwater,United States; ,"
    The primary threats to the species are: degradation of water quality due to sedimentation and pollutants from urbanization and industrial activities; altered stream flow regimes and water quantity due to construction and maintenance activities; insufficient stormwater management; and impoundments (five within the Turkey Creek and Dry Creek system). Other threats include: in-stream rock extractions; off-road vehicle usage; road, culvert, bridge, gas and water easement construction and maintenance. These activities lead to water quality degradation, stream channel instability, fragmentation of habitat and hydrology, and overall changes in the geomorphology of the Turkey Creek watershed. In addition, natural waterfalls are dispersal barriers to the connectivity of the Vermilion Darter populations. The Vermilion Darter's habitat is fragmented, and the various subpopulations may be genetically isolated and are vulnerable to local extirpation. Source: USFWS (2011, see this for additional source citations).

    
  ","['\n', <p>This species would benefit from habitat restoration, improved habitat protection and management, species management, and better information on population trend and threats.</p>, '\n']",Decreasing,"
    Critically Endangered


    B1ab(iii)

    ",1,Etheostoma chermocki,yes,817,Etheostoma boschungi,slackwater darter ,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Etheostoma ,Length: c. 4.6 cm (2)Maximum length: 7.8 cm (2),With an extremely restricted range and a dependency upon areas with adjacent breeding and non-breeding sites the slackwater darter is extremely vulnerable to any detrimental changes to its habitat. Unfortunately urbanisation and agricultural activities are increasingly encroaching upon the speciesâ?? habitat and consequently the speciesâ?? habitat has dwindled and the population has declined (4). The principle agent behind this decline is the extraction of ground water for agriculture and human consumption causing breeding areas to dry up. Streams have also been dammed to form fish-farm ponds while pollutants seeping into the water table from septic tanks and sewer pipelines continue to degrade this rare speciesâ?? habitat (4) (5). These threats are compounded by the speciesâ?? short life span as two consecutive poor breeding seasons could wipe out a substantial portion of the remaining population (4) (6).,The future of the slackwater darter is very much dependant on the careful management of its habitat (4). The conservation objectives for this Endangered species are set out in a detailed recovery plan with the protection of both breeding and non-breeding habitat a key priority (6). Monitoring of water quality and surveys of population trends will also be required if the slackwater darter is to be saved (4). , , ,0,0.0,yes,0
4414978,6323,557,6323,light red meranti,Shorea,Dipterocarpaceae,Terrestrial,"Brunei Darussalam; Indonesia (Kalimantan); Malaysia (Sabah, Sarawak); ",,['\n    It is also found in some forest reserves.\n\n    \n  '],,"
    Critically Endangered


    A1cd, C2a

    ",3,Shorea myrionerva,yes,557,Shorea leprosula,light red meranti ,Plantae,Tracheophyta,Magnoliopsida,Theales,Dipterocarpaceae,Shorea ,Height: up to 60 m (2),Light red meranti has been heavily exploited for its valuable timber leaving populations of this threatened tree drastically reduced (1).,The light red meranti is known to occur in some forest reserves (1). , , ,0,0.0,yes,0
11094302,5387,1401,5387,perriers sifaka,Propithecus,Indriidae,Terrestrial,Madagascar; ,"
    Slash-and-burn activities resulting in forest loss represents the greatest threat to this species. Additional threats include fires set to increase livestock pasture, the cutting of trees to produce charcoal, forest destruction caused by itinerant miners, and hunting. During the dry season, they drink water on the ground, and when they move between forest patches they move along the ground where their conspicuous colouration makes them vulnerable to predators and hunters.

    
  ","['\n    This species is listed on Appendix I of CITES. ', <span lang=""EN-CA"">One of the rarest and most endangered lemurs (and indeed of all the world's primates). The total population could be as few as 500, and the effective breeding population only 125 individuals. The only protected area in which it is known to occur is the Analamerana Special Reserve. A small number may still be found as well in the eastern section of Ankarana National Park, which is connected through a series of forest patches to populations at Andriafiamena and Analamerana. It has recently been seen in unprotected forest patches between Analamerana and Ankarana, and is present in the Andavakoera Classified Forest, but probably in very low numbers. There is an urgent need for a full-time, long-term scientific presence in the Analamerana Special Reserve, as well as an expansion of this protected area to include the forests of Andriafiamena and a connection to Ankarana. This effort should also include an education campaign in the region, as well as surveys in nearby forest patches to look for any other populations. This species is not being kept in captivity.Â Research into sifaka captivity is needed to establish<span class=""apple-converted-space"">Â ex situ<span class=""apple-converted-space"">Â conservation for this species.Â It is important to note that population densities of sifakas on sandstone soil are more than twice the population density found on limestone soils. This should enter into the conservation equation and protecting sandstone sites should be a priority.</span>
</span></span>]",Decreasing,"
    Critically Endangered


    C2a(i,ii)

    ",1,Propithecus perrieri,yes,1401,Propithecus perrieri,perriers sifaka ,Animalia,Chordata,Mammalia,Primates,Indriidae,Propithecus ,3.7 â?? 5 kg (2),Like many of Madagascarâ??s primates Perrierâ??s sifaka is threatened by hunting and habitat loss. Suitable forest habitat is diminishing as a result of land clearance for agriculture and livestock timber harvesting for charcoal and construction and small-scale mining for gemstones (4) and even within a so-called protected area where this species occurs an annual deforestation rate of 1.2 percent has been recorded (6). Whilst taboos against hunting once existed in many parts of Madagascar the increase in immigrants without belief in such taboos has led to a worrying growth in hunting (2). Such threats have already reduced this speciesâ?? population to perilously low levels - in 2003-2004 it was estimated there were only 915 individuals remaining â?? and continue to push Perrierâ??s sifaka towards extinction (6). Such a small population is at great risk of problems arising from loss of <strong>genetic variation</strong> making the long term viability of this species highly questionable (2) (6).,Analamerana Special Reserve harbours the majority of the Perrierâ??s sifaka population (1) although rather than offering the protection this rare species requires forest within the reserve is still being gradually destroyed (1) (6) and this species clearly requires further protection if it is going to survive. Since 2005 a group of interested parties led by the Monaco-based non-governmental organisation Act for Nature and the Groupe dâ??Etude et de Recherche sur les Primates de Madagascar have been conducting a conservation and research programme for Perrierâ??s sifaka. The programmeâ??s goals are to secure this speciesâ?? future in at least one major area currently without any degree of protection and to gain further scientific knowledge on this species that will help inform future conservation measures (7). The area between Analamerana Special Reserve and Ankarana Special Reserve is one area where forest protection has been strongly recommended (4). ,loss;hunting; , ,2,0.0,yes,1
8349246,6836,1054,6836,,Mammillaria,Cactaceae,Terrestrial,Mexico (Guanajuato); ,"
    This species is threatened by illegal collecting. The habitat is now well known to both commercial and amateur collectors. A residential development is in progress in the area which represents a potential threat. However, the developers are interested in the idea of establishing a protected area.

    
  ","['\n    The species is listed on CITES Appendix II, but there is a need to enforce the laws in the countries of destination for international trade. Recently a portion of the site has been enclosed with a chain link fence by El Charco del Ingenio of San Miguel de Allende with the support of the British Cactus and Succulent Society. However, this fence was quickly broken through and does not prevent access to the site. The species has long been propagated around the world.\n\n    \n  ']",Decreasing,"
    Critically Endangered


    B1ab(iii,v)+2ab(iii,v)

    ",1,Mammillaria albiflora,yes,1054,Mammillaria sanchez-mejoradae,biznaguita ,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Mammillaria ,Stem diameter: 25 cm (2),This highly attractive and unusual cactus is extremely popular with collectors and the location of the single population is well known (1). It is estimated that the number of Biznaguitas in the wild has declined by as much as 75% since its discovery in the mid-1980s principally as a result of over-collection (1). ,In recognition of the worrying population decline the Biznaguita was upgraded to Critically Endangered on the World Conservation Union's (IUCN) 2002 Red List of Threatened Species (1). This cactus is listed on Appendix II of the Convention on International Trade in Endangered Species (CITES) (3) thus restricting trade in wild plants; however a greater enforcement of these restrictions is required if this attractive cactus is to remain in the wild (1). , ,cites; ,0,1.0,yes,0
8349249,6839,1054,6839,,Mammillaria,Cactaceae,Terrestrial,Mexico (Hidalgo); ,"
    The known threat for this species is illegal collecting, which was thought to drive the species to extinction in the past. The species grows in a mine.

    
  ","['\n    The species is listed on CITES Appendix II. It is widely propagated, of dubious parenting.The species does not occur in any protected areas. Urgent research is needed in order to understand the population dynamics of this cactus.\n\n    \n  ']",Unknown,"
    Critically Endangered


    D

    ",1,Mammillaria glochidiata,yes,1054,Mammillaria sanchez-mejoradae,biznaguita ,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Mammillaria ,Stem diameter: 25 cm (2),This highly attractive and unusual cactus is extremely popular with collectors and the location of the single population is well known (1). It is estimated that the number of Biznaguitas in the wild has declined by as much as 75% since its discovery in the mid-1980s principally as a result of over-collection (1). ,In recognition of the worrying population decline the Biznaguita was upgraded to Critically Endangered on the World Conservation Union's (IUCN) 2002 Red List of Threatened Species (1). This cactus is listed on Appendix II of the Convention on International Trade in Endangered Species (CITES) (3) thus restricting trade in wild plants; however a greater enforcement of these restrictions is required if this attractive cactus is to remain in the wild (1). , ,cites; ,0,1.0,yes,0
11181051,5071,1412,5071,pink velvet worm,Opisthopatus,Peripatopsidae,Terrestrial,South Africa (KwaZulu-Natal); ,"
    Area of occurrence and occupancy are known to have decreased, and the quality of the habitat is known to have been affected by the removal of a large proportion of timber, the spread of alien invasive plants, and the construction of a national road through the forest.

    
  ","['\n    Permits are required by provincial conservation agency to collect any animals and there is some degree of protection of habitat in place by the State. Recommended conservation measures include increasing public awareness of the species, further research on population numbers, range, biology of the species, and habitat status.\n\n    \n  ']",Unknown,"
    Critically Endangered


    B1ab(i,iii)

    ",1,Opisthopatus roseus,yes,1412,Opisthopatus roseus,pink velvet worm ,Animalia,Onychophora,Onychophora,Onychophora,Peripatopsidae,Opisthopatus ,Length: up to 40 mm (2),The Ngele Forest in which the pink velvet worm lives was heavily logged in the early 1900s after a private sawmill was built nearby in 1891 (1). The remaining forest is patchy and continues to be destroyed as exotic plantations are planted around and right up to the edges of the indigenous forest the harvesting of which is greatly disruptive to the forest (1). Timber plantations are also associated with a high level of invasion by alien plants. The construction of a national road through Ngele Forest has fragmented habitat and potentially populations of the pink velvet worm.,Although a permit is required to collect any animals from the province and some degree of habitat protection has been given by the State access to the area where this species occurs remains relatively uncontrolled (1). Future conservation measures advocated include a publicity campaign to raise awareness of the species and further research on population numbers range and biology of the species (1). Fortunately five specimens are currently thriving in captivity in Hamburg providing the opportunity to study their life cycle reproduction and feeding behaviour (6). Although this captive population safeguards the survival of the species for the time being more needs to be done to protect the pink velvet wormâ??s diminishing restricted habitat if this ancient unusual and elusive species has any chance of surviving in the wild. , , ,0,0.0,yes,1
5693651,2766,719,2766,,Nepenthes,Nepenthaceae,Terrestrial,Madagascar; ,,['\n    Currently listed on CITES Appendix II.\n\n    \n  '],,"
    Endangered


    C2b

    ",1,Nepenthes masoalensis,yes,719,Nepenthes burbidgeae,pitcher plant ,Plantae,Tracheophyta,Magnoliopsida,Nepenthales,Nepenthaceae,Nepenthes ,Height: up to 15 m (2),<i>Nepenthes</i> species are threatened by a combination of over-collection and habitat loss (2).  The biodiversity of Indonesia is significantly threatened by widespread habitat destruction caused by illegal and commercial logging and large agricultural projects such as rubber and oil palm plantations (7).  <i>Nepenthes burbidgeae</i> has a highly localised distribution making this species particularly susceptible to extinction throught habitat destruction or catastrophic environmental events such as drought or fire. In addition montane species such as <i>Nepenthes burbidgeae</i> take longer to recover than lowland plants after such events as growth is slower (2).,<i>Nepenthes burbidgeae</i> is found only on Mount Kinabalu which is situated within Kinabalu National Park.  This regionâ??s protected status along with the inaccessibility of many areas offers this species some degree of protection particularly from collectors (2). It is listed under Appendix II of the Convention on International Trade in Endangered Species (CITES) which limits the international export of this species (3).  However trade is very difficult to regulate as there is no requirement for internationally traded <i>Nepenthes</i> to be identified down to species level and plants simply labelled as <i>Nepenthes </i>accounted for 94 percent of all exported <i>Nepenthes </i>plants between 1988 and 1993.  This needs to be remedied and urgent attention is required to close other trade loopholes (2).  <i>Nepenthes</i> species including <i>Nepenthes burbidgeae</i> are being increasingly cultivated helping to reduce the impact on wild populations.  Conservation efforts can be made more effective not only by the implementation and enforcement of protective laws but also by the encouragement of artificial propagation and the establishment of habitat reserves (8). ,loss;environmental;environment; ,cites;protected; ,3,2.0,yes,0
11158181,5946,1409,5946,,Shorea,Dipterocarpaceae,Terrestrial,Sri Lanka; ,,,,"
    Critically Endangered


    A1cd, C2a

    ",1,Shorea lissophylla,yes,1409,Shorea almon,philippine mahogany ,Plantae,Tracheophyta,Magnoliopsida,Theales,Dipterocarpaceae,Shorea ,Height: 70 m (2)Trunk diameter: 1.6 m (2),The Philippine mahogany has become depleted due to logging and <strong>slash-and-burn</strong> farming (2).  The moderately hard and comparatively light timber is in great demand for plywood (2) (3) and is also used for furniture boat decking and for many other purposes (2).,Despite being Critically Endangered it is not clear whether any conservation measures exist for this species. , , ,0,0.0,yes,0
6241119,4099,788,4099,mount nimba reed frog,Hyperolius,Hyperoliidae,Terrestrial; Freshwater,CÃ´te d'Ivoire; ,"
    The threats are hard to determine, since it is not known to what extent the species can adapt to opening up of its habitat. It appears to have a genuinely small range, since it is a conspicuous species and probably would have been found elsewhere if it is more widespread. It might be adversely affected by expanding agriculture, logging and human settlement.

    
  ","['\n    It is not known from any protected areas. Although part of Mount Nimba is protected as the Mount Nimba Strict Nature Reserve (which was added to the list of World Heritage Sites in 1981) the site is urgently in need of stricter protection and improved management, particularly given that it represents the only known site where several highly threatened species are known to persist.\n\n    \n  ']",Decreasing,"
    Endangered


    B1ab(iii)

    ",1,Hyperolius nimbae,yes,788,Hyperolius thomensis,sao tome giant treefrog ,Animalia,Chordata,Amphibia,Anura,Hyperoliidae,Hyperolius ,Male length: 27 - 41 mm (2)Female length: 36 - 49 mm (2),Forest clearance began on SÃ£o TomÃ© in the late 15th century when early colonisers made space for the cultivation of sugar cane. In the 1800s the rate of deforestation accelerated dramatically first with the production of coffee and later with cocoa. At one stage in the early 20th century SÃ£o TomÃ© was the worldâ??s largest producer of cocoa with an estimated 42 percent of the island being devoted to its production. The crash in the price of cocoa and the islandâ??s conversion to independence in 1975 significantly slowed down the rate of forest clearance but not before almost all the islandâ??s lowland <strong>primary forest</strong> had been destroyed (9).,There are no known specific conservation measures in place for the SÃ£o TomÃ© giant treefrog but this species does occur in the protected Obo National Park (1).  ,loss;pet; ,protected; ,2,1.0,yes,0
