,_id,ltable_name,ltable_family,ltable_ecology,ltable_countries,ltable_threat_paragraph,ltable_conservation_paragraph,ltable_pop_trend,ltable_status,ltable_country_count,scientific_name,rtable_name,rtable_kingdom,rtable_phylum,rtable_class,rtable_order,rtable_family,genus,rtable_size,rtable_threats,rtable_conservation,rtable_threat_keywords,rtable_conservation_keywords,rtable_status,rtable_countries,rtable_country_count,rtable_tCount,label
269,8806402,chinese giant salamander,Cryptobranchidae,Freshwater,China; ,"
    Commercial over-exploitation for human consumption is the main threat to this species. It has also suffered from habitat destruction (e.g., from the construction of dams) and habitat degradation (e.g., water pollution from mines). Although there is commercial farming of this species, the vast majority of Chinese Giant Salamanders being traded are believed to originate from the wild.

    
  ","['\n    In China, this species is listed as a Class II state major protected wildlife species. It occurs, or at least used to occur, in many nature reserves within its range, and some nature reserves even use the species as their main conservation target, such as Zhangjiajie Giant Salamander Nature Reserve. Captive rearing of animals has achieved some success, but these projects are mainly to meet the market demand. It is not clear whether or not animals are actually being bred in captivity. It is listed on CITES Appendix I.\n\n    \n  ']",Decreasing,Critically Endangered,1,Andrias davidianus,chinese giant salamander ,Animalia,Chordata,Amphibia,Caudata,Cryptobranchidae,Andrias ,Length: 1.8 m (2),The Chinese giant salamander is threatened by hunting as its flesh is considered a delicacy in Asia. Other threats include habitat alteration and loss; deforestation causes soil erosion and increased runoff and silting in rivers. The building of dams in China over the years has also changed the natural river flow in some areas where the Chinese giant salamander is found. Local pesticides fertilizers and pollutants are also thought to affect the health of this amphibian though little research has been conducted. Symptoms of these recent threats include the lower numbers of Chinese giant salamanders recorded with smaller populations and also smaller individuals (4).,The Chinese giant salamander is now protected from international trade by its listing on Appendix I of the Convention of International Trade of Endangered Species (CITES) (3). Since the 1980s 14 nature reserves with a total area of more than 355000 hectares have been established for the conservation of the Chinese giant salamander (7). This includes a huge 99975 hectare area of Mount Wuyi China which was designated as a World Heritage Site in 1999 dedicated to conserving this biodiverse region including the habitat of this salamander (8). The surrounding area has a growing population and the establishment of this reserve will protect many species. However there are still concerns that development around the reserve and tourism plans within the reserve will place pressure on Mount Wuyiâ??s rich resources healthy rivers and habitats. Conservation efforts to protect this habitat and other areas where the ancient Chinese giant salamander is found are essential for the survival of this species and many others (8). ,loss;hunting; ,cites;protected; ,Critically Endangered,"['Bermuda', 'Mexico', 'United States', 'Bahamas']",4,2,
275,5113138,"nelsons antelope squirrel, san joaquin antelope ground squirrel, san joaquin antelope squirrel",Sciuridae,Terrestrial,United States (California); ,"
    The decline is a result of loss of habitat due to agricultural and urban development as well as oil and gas exploration practices. Primary existing threats include loss of habitat due to agricultural development, urbanization, and petroleum extraction, and the use of rodenticides for ground squirrel control. Overgrazing and associated loss of shrub cover is a concern in some areas. These threats will be alleviated by the implementation of the San Joaquin Endangered Species Recovery Plan.

    
  ","['\n    The species is currently listed as Threatened by the California Fish and Game Commission and it is a federal C2 candidate taxon. ', <br/>, <br/>, 'Significant populations occur on the Carrizo Plain National Monument (encompasses most of the Carrizo Plain and Elkhorn Plain). The national monument designation applies only to public lands managed by the Bureau of Land Management. Existing private lands within the monument boundaries are not affected by the designation. The overall Carrizo Plain, which includes some state owned land, will continue to be jointly managed by the Bureau of Land Management, the California Department of Fish and Game, and The Nature Conservancy. ', <br/>, <br/>, 'Small populations are also found within two preserves in Kern County owned by The Nature Conservancy, and two reserves owned by the California Department of Fish and Game (in Kern County and Tulare County). See California Department of Fish and Game (1990) for brief comments on protected areas inhabited by this species (e.g., Elkhorn Plain Ecological Preserve, Carrizo Plain, and others).', <br/>, <br/>, 'The California Department of Fish and Game is involved in several conservation efforts, including the Metropolitan Bakersfield Habitat Conservation Plan (HCP), the California Department of Corrections Electric Fence HCP, the Coles Levee area 2081 Agreement, and the Arco Western Energy HCP.', <br/>, <br/>, 'Acquisition and protection of lands with extant populations of antelope squirrels in the Panoche and Kettleman Hills and on the San Joaquin Valley floor should be the highest priority for this species (Harris and Stearns 1991). Also need to determine the population density for the range of habitats occupied; additional inventories are needed, mostly on private land, and also to monitor populations, and obtain data on demography, dispersal, and reproduction.', <br/>, <br/>, 'USFWS (1998) stated that the actions required to conserve the San Joaquin antelope squirrel, in approximate order of importance, are: 1. Determine habitat management prescriptions on the southern San Joaquin Valley floor. 2. Inventory potential habitat in the Allensworth, Semitropic Ridge, and Kettleman Hills natural areas, and along the western edge of the Valley between Pleasant Valley, Fresno County, and McKittrick Valley-Lokern Area, Kern County. 3. Protect additional habitat in the Pixley National Wildlife Refuge-Allensworth Natural Area. 4. Develop and implement a population monitoring program at sites representative of their existing geographic range. 5. Protect additional habitat in the Panoche Region of western Fresno and eastern San Benito Counties. 6. Protect additional habitat in western Kern County. 7. Protect additional habitat in the Semitropic Ridge Natural Area. 8. Reevaluate the status of San Joaquin antelope squirrels within three years of recovery plan approval.', <br/>, <br/>, 'Management Requirements: Protect habitat from overgrazing and loss of shrub cover; maintain sparse shrub cover and associated species; avoid unnecessary rodenticide use. Care should be taken not to destroy burrows near man-made structures in previously disturbed sites (Biosystems Analysis 1989).\n\n    \n  ']",Decreasing,Endangered,1,Ammospermophilus nelsoni,nelsons antelope squirrel ,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ammospermophilus ,142 â?? 179 g (2),The principal reason behind the dramatic decline of Nelsonâ??s antelope squirrel is the loss of its habitat to agricultural encroachment urbanisation overgrazing by livestock and oil and gas exploration. Now present in only 20 percent of its former range Nelsonâ??s antelope squirrel is extremely vulnerable to further habitat loss. In public owned reserves this rare species is protected from further declines but in private owned areas where the future management is uncertain its habitat is still threatened. The use of insecticides on agricultural pests has also been identified as a further threat to Nelsonâ??s antelope squirrel due to loss of prey while the historical use of rodenticides for the control of ground squirrels may have also contributed to the decline (1) (6).  ,Nelsonâ??s antelope squirrel has already benefited from several conservation measures aiming to protect its vulnerable habitat.  Several reserves have been created within the San Joaquin valley an area defined by a high degree of <strong>endemism</strong> including the Carrizo Plain National Monument and the Elkhorn Plain Ecological Preserve. This has offered Nelsonâ??s antelope squirrel some sanctuary; however several sites with substantial populations still receive no form of protection. Foremost in the drive to save this species should be the establishment of further protected areas in the Panoche and Kettleman hills and on the San Joaquin valley floor (1). Furthermore livestock grazing of natural grasslands should be limited while further surveys and monitoring of the density of this curious species is also required (6). ,loss; ,protected; ,Endangered,['Tanzania'],1,1,
282,105744,"alexandria cycad, dune cycad",Zamiaceae,Terrestrial,South Africa (Eastern Cape Province); ,"
    The major threat to this species is removal by collectors. This has been the main cause of decline over the past 50 years. Some have also been destroyed by habitat destruction (bush clearing to make way for pastures).

    
  ",['\n    This species is listed on Appendix I of the CITES Appendices. Populations occur within the boundaries of the Addo National Park (formerly the Woody Cape Nature Reserve).\n\n    \n  '],Decreasing,Endangered,1,Encephalartos arenarius,alexandria cycad ,Plantae,Tracheophyta,Cycadopsida,Cycadales,Zamiaceae,Encephalartos ,Stem height: 1 - 2 m (2),Although it was once plentiful across its range the Alexandria cycad is now relatively rare in the wild with a population size of just 850 to 1500 mature individuals (1) (2) (7) (8). Although clearance of habitat for farming was the main cause of its decline in the early 20th century in more recent times large numbers of this species have been removed by collectors (7) (8).,There are not known to be any specific conservation measures in place for the Alexandria cycad but it is listed on Appendix I of CITES which permits trade only under exceptional circumstances (3). , ,cites; ,Endangered,['Japan'],1,0,
297,8706313,cave catfish,Clariidae,Freshwater,Namibia; ,"
    Depletion of ground water; the cave lake has been used as a water supply in an otherwise very dry area (Proudlove 2006). Pumping of water has reduced the depth of the lake from 70 m to 50 m since 1921 (Skelton 1990, Bruton 1995). Potentially exploitation from aquarists.

    
  ",['\n    Control of water extraction. Collections of fishes regulated by permits.\n\n    \n  '],Unknown,Critically Endangered,1,Clarias cavernicola,cave catfish ,Animalia,Chordata,Actinopterygii,Siluriformes,Clariidae,Clarias ,Length: 16.1 cm (2),The cave catfish is found only within a single cave in Namibia and is therefore at inherent risk of extinction due to any chance event. The main threat to the species comes from the depletion of ground water within the cave and the exploitation of aquifer water may pose the most serious threat in the long-term (3).,The protection of the Aigamas Cave is vital in the conservation of this species and the present owner is sympathetic to the sensitivity of the cave only allowing access or collection of the cave catfish with a Nature Conservation Permit (3). Twenty captive specimens were held in the National Zoological Gardens' aquarium in Pretoria for several years (3) but no longer persist (7). There is also a move to provide legislative protection for this rare and unique fish (3). , , ,Critically Endangered,['United States'],1,0,
308,5003753,mountain nyala,Bovidae,Terrestrial,Ethiopia; ,"
    Threatened by illegal hunting, destruction of montane forest and heathlands, encroachment by cattle, expansion of high-altitude cultivation, roads, and harassment by dogs. Permanent occupation of suitable habitat as a result of increasing human and livestock populations is exerting tremendous pressure on nyala habitat throughout the range, with anecdotal evidence suggesting mountain nyalas actively avoid livestock (Sillero-Zubiri in press). Mountain Nyalas are extensively hunted for meat and horns, the latter used for local medicine and to make nipples for traditional milk bottles. Trophy hunting blocks in Arsi have been hunted out and concessions moved to Bale, with continued pressure by the industry for additional hunting blocks and larger quotas. Effects of current trophy-hunting programs are not well understood and current trophy hunting quotas may be unsustainable in the long-term (Sillero-Zubiri in press). Its restricted range, and fragmented populations, make it highly vulnerable to human activities and stochastic events.

    
  ","['\n    Fully protected by law but enforcement is generally absent. Effective protection is limited to around 20 km�?² of habitat in Gaysay and around Bale Mountains N.P. headquarters. The Bale Mountains National Park harbours around half the total population of mountain nyalas. The small Kuni-Muktar Wildlife Sanctuary was established in 1990 as a second protected area for mountain nyala, but by 1996 this sanctuary had suffered severely from poaching, deforestation, cultivation and gully erosion, and the species no longer occurred.', <br/>, <br/>, 'The mountain nyala, along with the Ethiopian wolf, is a key flagship species for Bale Mountains National Park and its future will be closely tied to the future of this protected area. It is also very important to spread the risk by establishing effective protection and management of mountain nyala populations elsewhere within its range. Sustainable trophy hunting in some of these areas has very high potential for generating the revenue needed to fund effective conservation of this species and the other endemics which share its habitat. It may also be advisable to establish a self-sustaining captive population in collaboration with the Ethiopian conservation authorities, as an insurance against future adversity for the wild population.\n\n    \n  ']",Decreasing,Endangered,1,Tragelaphus buxtoni,mountain nyala ,Animalia,Chordata,Mammalia,Cetartiodactyla,Bovidae,Tragelaphus ,150 - 320 kg (3) (4),The mountain nyala has undergone a substantial decline in recent decades from an estimated 7000 to 8000 individuals in the 1960s (2) (11) to perhaps fewer than 2500 today (1) although others believe it to number nearer 4000 (4). It has also reduced in range and remaining populations are fragmented making them particularly vulnerable (1) (10). The main threats to the mountain nyala come from human activity within its range with increasing human and livestock populations putting ever-increasing pressure on the species through illegal hunting competition with cattle predation by domestic dogs and habitat clearance for agriculture grazing firewood harvesting and settlement (1) (2) (4) (10) (11). The species has been extensively hunted for its meat and horns and there is continued pressure from the trophy hunting industry to increase hunting quotas (1) (4).,Despite being fully protected by law enforcement is generally absent and the mountain nyala is only effectively protected within a small area in the north of Bale Mountains National Park which is estimated to hold a large proportion of the total population (1) (9) (14). A smaller protected area Kuni-Muktar Wildlife Sanctuary was established for the species in 1990 but severe poaching deforestation cultivation and erosion were thought to have eliminated the mountain nyala there (1) (10) until the presence of a small population was confirmed in 2003 (4). No mountain nyalas are currently kept in captivity (2) (10) (12) and it has been suggested that a self-sustaining captive population be established as an insurance against further losses in the wild (1) (10). ,hunting;pet; ,protected; ,Endangered,['Seychelles'],1,2,
310,7023453,"leafnosed lizard, tennents leafnosed lizard",Agamidae,,Sri Lanka; ,,,,Endangered,1,Ceratophora tennentii,tennents leafnosed lizard ,Animalia,Chordata,Reptilia,Squamata,Agamidae,Ceratophora ,Male length: 18.5 cm (2)Female length: 18.3 cm (2),The principle threats to Tennentâ??s leaf-nosed lizard are habitat fragmentation and loss rainwater acidification pesticides and the effects of climate change (5). Much of Sri Lankaâ??s original tropical moist montane forest has been cleared during the last two centuries for cinchona coffee tea rubber and cardamom plantations for grazing livestock by logging companies illegal logging and removal of timber by peripheral villagers (5) (8). The montane forests of the Knuckles Mountains where this species is found have been particularly affected by cardamom cultivation which requires that much of the forest understorey is cleared and although the canopy is retained for shade continuing weeding of the area to remove competing vegetation prevents natural regeneration of the forest. Some areas are also still cultivated for vegetables using traditional slash and burn techniques and on occasion this can lead to out-of-control forest fires (6). With a rapidly growing population and increasing demand for agricultural land the destruction of montane forests continues at an alarming rate. Further more there is intensive use of pesticides on vegetable cultivations and tea plantations in Sri Lanka which could be having a serious polluting affect. Although the impact these chemicals are having on non-target species is not yet known studies elsewhere indicate that they could potentially be devastating with possibilities for <strong>bioaccumulation</strong>. There is also evidence in the tropical moist montane forests of the Knuckles Mountains of large-scale forest die-back thought to be the result of acid rain and these forests are considered particularly at risk from climate change especially global warming (5).,Project Knuckles 2004 and a follow-up expedition in 2005 were initiated to conduct the first in-depth study of reptiles and the primary threats facing them in the Knuckles Mountain Range (6). It was discovered that the region held some of the highest reptile diversity in the country and is therefore an important site for conservation. Tennentâ??s leaf-nosed lizard was one of three target species studied (9). As of 2000 areas above 1067 m above sea level were given protected status as conservation forest. As such cardamom cultivation has had to be abandoned in the area. However rather than allowing the natural regeneration of native forest the cardamom appears to have been replaced by a series of invasive weeds such as mistflower (<i>Eupatorium riparium</i>) and Lantana (<i>Lantana camara</i>) (6). Fortunately Tennentâ??s leaf-nosed lizards appear to be fairly adaptable and tolerant of some degree of habitat disturbance having been recorded from forests under planted with cardamom and pine plantations providing hope for the long-term survival of this unique unusual looking reptile (3) (6). ,loss;fragmentation;pet; ,protected; ,Critically Endangered,"['Cambodia', 'China', 'Thailand', 'Laos']",4,3,
314,6018178,"round island boa, round island ground boa, round island keelscaled boa",Bolyeridae,,Mauritius; ,,,,Endangered,1,Casarea dussumieri,round island keelscaled boa ,Animalia,Chordata,Reptilia,Squamata,Bolyeridae,Casarea ,Length: 1 - 1.5m (2),Habitat loss has been rife throughout the Mascarene Islands. Vast tracts of native forest (over 90%) have been cleared to make way for agriculture and on Round Island the introduction of rabbits and goats has further damaged native flora (7); however these were removed during the 1980â??s. Perhaps 500 adults remain (with a total population of approximately 1000 individuals) on the 159-hectare Round Island (1). ,Round Island is a protected area and visitors to the island are restricted to scientists and conservationists (5). Rabbits and goats have been eradicated and the native vegetation of the island much of which is itself <strong>endemic</strong> and endangered is beginning to recover. The Government of Mauritius and the Mauritian Wildlife Foundation are also running an intensive habitat restoration programme (1). International trade is prohibited by the listing of this snake on Appendix I of the Convention on International Trade in Endangered Species (4). A captive breeding programme has been established with the aim of safeguarding the future of this rare snake and learning more about its complex biology (2). The Round Island keel-scaled boa is one of two snakes to be found only on this island belonging to an ancient line that dates back over 60 million years (7). Its relative <i>Bolyeria multocarinata</i> however has not been seen in the wild since 1975 and is feared to be extinct (2).  ,loss; ,captive breeding;protected; ,Critically Endangered,['Bahamas'],1,1,
315,6086811,"dinagat hairytailed rat, russet batomys",Muridae,Terrestrial,Philippines; ,"
    The population of this geographically restricted species on Dinagat island has been particularly threatened by habitat loss caused by illegal logging since 1995 and more recently (2001-2007) several mining companies have started operating there. The habitat of this species is found within the mining concessions. The local government is also very supportive of the mining companies because of their contribution to the local governments funds.

    
  ",['\n    Surveys are required to determine the geographic range of the species on nearby islands as well as its tolerance to habitat disturbance.\n\n    \n  '],Decreasing,Endangered,1,Batomys russatus,russet batomys ,Animalia,Chordata,Mammalia,Rodentia,Muridae,Batomys ,115 g (2),Information on the russet batomys is lacking but it is believed to have a small global population and to be declining as a result of habitat loss on Dinagat due to agriculture mining and illegal logging (1) (2). As with many islands in the region little of the original forest cover may now remain (7). This species is not thought to be very tolerant of habitat disturbance and its small and highly fragmented range puts it at even greater risk of extinction (1) but little information is available on its exact status (2).,There are not known to be any specific conservation measures currently in place for this poorly-known mammal. Surveys are needed to confirm whether the species occurs on any other islands and to assess its tolerance of habitat disturbance (1) and it may also benefit from further research into its ecology and behaviour. ,loss; , ,Critically Endangered,"['Mauritius', 'Madagascar']",2,1,
316,540208,cherry mahogany,Sapotaceae,Terrestrial,Cameroon; C�?´te d'Ivoire; Gabon; Ghana; Liberia; Nigeria; Sierra Leone; ,"
    Overexploitation in some countries is leading to serious population declines, notably in Ghana and in Liberia, where there is a possibility of the species becoming extinct. Regeneration may also be limited in parts of its range because of the reduction in elephant numbers and other seed dispersers.

    
  ",,,Endangered,7,Tieghemella heckelii,baku ,Plantae,Tracheophyta,Magnoliopsida,Ebenales,Sapotaceae,Tieghemella ,Height: c. 60 metres (2)Trunk diameter: up to 3 m (2),The beautiful baku is threatened by over-exploitation for its attractive wood (8) which is used as timber and in the production of musical instruments (2).  The forests of West Africa have been reduced to fragments due to harvesting and <strong>primary</strong> rainforests in C�?´te dâ??Ivoire Guinea Nigeria and Sierra Leone now cover less than ten percent of their original extent (2).  Ghana and Liberia both have a higher percentage of their natural forests remaining but even in these countries populations of baku have experienced significant declines and the extinction of this important species is a possibility (2).  Illegal and poorly controlled logging pose the greatest threat to the bakuâ??s continued existence (2) but it has also been reported that the reduction of forest elephant numbers in certain areas may limit the natural regeneration of baku (2) (8).,Baku trees are protected by law in C�?´te d'Ivoire and due to the problem of overexploitation of timbers Ghana and Liberia have imposed bans on the exporting of baku in log form (8) (9).   Despite these measures improved regulation of the timber trade is still urgently required (2).  It has been recommended that re-planting in Liberia is necessary to prevent this speciesâ?? extinction (8) and in all areas in which it is harvested certified sustainable forest management to Forest Stewardship Council (FSC) standards are required (2).  The Global Trees Campaign was set up with the aim of saving the worldâ??s most threatened tree species of which baku is one of and as a result Flora and Fauna International is currently working in Liberia with local and international partners to improve the basis for the conservation and sustainable management of forests (2).  Hopefully through the provision of information and the encouragement and support of sustainable-use operations (2) valuable and beautiful trees such as the baku can be conserved. , ,protected; ,Endangered,"['United States', 'Barbados', 'United Kingdom']",3,0,
319,6534459,"green psammodromus, smallfingered psammodromus",Lacertidae,Terrestrial,Morocco; ,"
    This species appears to have undergone a significant decline, possibly related to the abandonment of grazing regimes leading to overgrown, unsuitable habitat.

    
  ",['\n    It is not known if this species is present in protected areas.\n\n    \n  '],Decreasing,Endangered,1,Psammodromus microdactylus,smallfingered psammodromus ,Animalia,Chordata,Reptilia,Squamata,Lacertidae,Psammodromus ,c. 3 - 4 g (2),The absence of suitable habitat as a result of the abandonment of grazing regimes could be a threat to the small-fingered psammodromus (1).,Studies have shown that less than five percent of the small-fingered psammodromusâ?? habitat is located within protected areas (6) but it is not known whether this species is found within these areas (1). , ,protected; ,Critically Endangered,['Bermuda'],1,0,
321,4924236,mexican water mouse,Cricetidae,Terrestrial; Freshwater,Mexico; ,"
    This species is threatened by human activity within its range, specifically by continued deforestation and water pollution. Any type of water pollution, including household pollution from washing clothes, is considered a threat to this species. Deforestation is occurring throughout the range of this species, except in steep riparian areas.

    
  ",['\n    More research is needed to determine the status of this species population and its specialized habitat.\n\n    \n  '],Unknown,Endangered,1,Rheomys mexicanus,mexican water mouse ,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Rheomys ,c. 88 g (3),In general water mice are considered very difficult to capture and so the exact status of many species is unknown (4) (5). However the Mexican water mouse is believed to be rare and to occupy a limited and severely fragmented range and has been recorded from only four locations making it particularly vulnerable (1) (2). The main threats to the species are deforestation which is reported to be occurring throughout its range and water pollution. The Mexican water mouse is reliant on areas of pristine habitat and any kind of water pollution including household pollution from the washing of clothes is a potential threat to its survival (1).,The Mexican water mouse is classed as â??Rareâ?? by the Mexican government (8) but there are not known to be any specific conservation measures in place for the species. More research is needed to better understand this little-known rodent and to determine the status of its populations and its specialised habitat before appropriate conservation measures can be put in place (1). ,pollution; , ,Endangered,['Mexico'],1,1,
329,7278110,virgin islands coqui,Eleutherodactylidae,Terrestrial,"Virgin Islands, U.S.; Virgin Islands, British; ","
    Infrastructure development for tourism, human settlement, and road construction is a major threat. Rats and mongooses have also been introduced to the island and most likely pose a threat.

    
  ","['\n    It was previously known from a protected area on St. John, and it may occur in Virgin Gorda Peak Forest Park. The habitat of this species on Tortola and Virgin Gorda requires improved protection, and there is also a need to control invasive predators. Further survey work is needed to determine the current population status of this species.\n\n    \n  ']",Decreasing,Endangered,2,Eleutherodactylus schwartzi,virgin islands coqui ,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Eleutherodactylus ,Female snout-vent length: up to 34 mm (2),Currently almost a quarter of all amphibian species on the British Virgin Islands are categorised as endangered indicating that the islandsâ?? unique fauna is facing a wealth of threats. Habitat degradation and conversion to developments for tourism human settlements and road construction are particularly severe problems while predation from introduced mammals such as rats and mongoose also threatens many native species (6). As a result of these threats the range of the Virgin Islands coqui has become highly fragmented and there is an ongoing decline in the quality of its habitat. The small distinct population on Great Dog is particularly vulnerable. The Virgin Islands coqui also appears to be declining with the spread of the predatory Cuban tree frog (<em>Osteopilus septentrionalis</em>) (1).<em>  </em>,A number of conservation recommendations have been made to protect the native fauna of the British Virgin Islands including the creation of protected areas and minimising the impacts of development through the better enforcement of protective legislation. Increased monitoring efforts for amphibian populations may also be required given the potential for deadly diseases such as the fungus chytridiomycosis to break out on the island especially as disease has been associated with dramatic amphibian declines on nearby islands (6). Additional study and protection of the Virgin Islands coqui population on Great Dog is a conservation priority for the species while there is also a need to afford its habitat on Tortola and Virgin Gorda increased protection and control invasive predators (1) (6). , ,protected; ,Critically Endangered,"['Dominican Republic', 'Haiti']",2,0,
339,6542374,"green psammodromus, smallfingered psammodromus",Lacertidae,Terrestrial,Morocco; ,"
    This species appears to have undergone a significant decline, possibly related to the abandonment of grazing regimes leading to overgrown, unsuitable habitat.

    
  ",['\n    It is not known if this species is present in protected areas.\n\n    \n  '],Decreasing,Endangered,1,Psammodromus microdactylus,smallfingered psammodromus ,Animalia,Chordata,Reptilia,Squamata,Lacertidae,Psammodromus ,c. 3 - 4 g (2),The absence of suitable habitat as a result of the abandonment of grazing regimes could be a threat to the small-fingered psammodromus (1).,Studies have shown that less than five percent of the small-fingered psammodromusâ?? habitat is located within protected areas (6) but it is not known whether this species is found within these areas (1). , ,protected; ,Critically Endangered,['Bermuda'],1,0,
341,6078896,"dinagat hairytailed rat, russet batomys",Muridae,Terrestrial,Philippines; ,"
    The population of this geographically restricted species on Dinagat island has been particularly threatened by habitat loss caused by illegal logging since 1995 and more recently (2001-2007) several mining companies have started operating there. The habitat of this species is found within the mining concessions. The local government is also very supportive of the mining companies because of their contribution to the local governments funds.

    
  ",['\n    Surveys are required to determine the geographic range of the species on nearby islands as well as its tolerance to habitat disturbance.\n\n    \n  '],Decreasing,Endangered,1,Batomys russatus,russet batomys ,Animalia,Chordata,Mammalia,Rodentia,Muridae,Batomys ,115 g (2),Information on the russet batomys is lacking but it is believed to have a small global population and to be declining as a result of habitat loss on Dinagat due to agriculture mining and illegal logging (1) (2). As with many islands in the region little of the original forest cover may now remain (7). This species is not thought to be very tolerant of habitat disturbance and its small and highly fragmented range puts it at even greater risk of extinction (1) but little information is available on its exact status (2).,There are not known to be any specific conservation measures currently in place for this poorly-known mammal. Surveys are needed to confirm whether the species occurs on any other islands and to assess its tolerance of habitat disturbance (1) and it may also benefit from further research into its ecology and behaviour. ,loss; , ,Critically Endangered,['Indonesia'],1,1,
344,419498,"atlantic halibut, halibut",Pleuronectidae,,<div>Atlantic â?? northeast; Atlantic â?? northwest</div>; Canada (Newfoundland I); Denmark; Faroe Islands; France; Germany; Greenland; Iceland; Netherlands; Norway; Russian Federation; Sweden; United Kingdom; United States (Alaska); ,,,,Endangered,15,Hippoglossus hippoglossus,atlantic halibut ,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossus ,up to 315 kg (2),The Atlantic halibut has suffered massive declines throughout its range over the last two centuries including virtual elimination in many areas as a result of over-fishing (7). Their slow growth rate and late onset of sexual maturity make these fish extremely vulnerable to the effects of over-fishing (5). Not only does this mean that individuals are often harvested many years before reaching maturity and therefore unable to increase abundance through reproduction but also that populations will be slow to recover from collapses in numbers (7). Since population numbers are now too low to sustain target fisheries Atlantic halibut are predominantly taken as <strong>bycatch</strong> by bottom trawlers and longliners (8). Surveys indicate that these fish have continued to decline in the North Atlantic over the past two decades despite being taken only incidentally as <strong>bycatch</strong> with little targeted halibut fishing (7).,There is currently no management plan in place for this fish and it is therefore thought probable that numbers of Atlantic halibut will continue to decline. It has been argued that Atlantic halibut are unlikely to recover simply by banning halibut landings or designating protected areas. Rather the recovery and survival of this Endangered flatfish species will depend on reducing its <strong>bycatch</strong> in other highly exploited fisheries (7). ,fishing; ,protected; ,Endangered,['Indonesia'],1,1,
348,1831087,cornish pathmoss,Ditrichaceae,Terrestrial,United Kingdom (Great Britain); ,"
    Habitat is threatened by encroachment of rank vegetation and excessive human disturbance, for example from vehicular activity.

    
  ",,Unknown,Endangered,1,Ditrichum cornubicum,cornish path moss ,Plantae,Bryophyta,Bryopsida,Dicranales,Ditrichaceae,Ditrichum,Plant size: 1 - 5 mm,Although the reasons for the decline of this species are not fully understood it is believed that accidental loss from trampling and vehicle movements and enrichment of the ground by sheep dung has resulted in the Cornish path moss's decrease at one of its sites. Its disappearance from a site in West Cornwall was due to the surfacing of a lay-by.,This species' rarity and the precarious state of its habitat meant that it was included in the original UK Biodiversity Action Plans for species and it is also listed in English Nature's Species Recovery Programme (SRP). Initial work on conserving the Cornish path moss concentrated on maintaining the plant's only known site and in 1996 it was designated a Site of Special Scientific Interest (SSSI). With the moss's sites now under protection a management plan was produced and an <glos><i>ex-situ</i></glos> conservation programme was begun to propagate the moss and allow for possible introduction to other suitable sites. This was part of the bryophyte conservation programme run by the Royal Botanic Gardens Kew and should provide an insurance safeguard against the extinction of this species in the wild. However the most important issue is to ensure that the natural populations remain viable and the major conservation efforts are being directed towards this goal. ,loss; , ,Endangered,"['China', 'Vietnam']",2,1,
356,7031368,"leafnosed lizard, tennents leafnosed lizard",Agamidae,,Sri Lanka; ,,,,Endangered,1,Ceratophora tennentii,tennents leafnosed lizard ,Animalia,Chordata,Reptilia,Squamata,Agamidae,Ceratophora ,Male length: 18.5 cm (2)Female length: 18.3 cm (2),The principle threats to Tennentâ??s leaf-nosed lizard are habitat fragmentation and loss rainwater acidification pesticides and the effects of climate change (5). Much of Sri Lankaâ??s original tropical moist montane forest has been cleared during the last two centuries for cinchona coffee tea rubber and cardamom plantations for grazing livestock by logging companies illegal logging and removal of timber by peripheral villagers (5) (8). The montane forests of the Knuckles Mountains where this species is found have been particularly affected by cardamom cultivation which requires that much of the forest understorey is cleared and although the canopy is retained for shade continuing weeding of the area to remove competing vegetation prevents natural regeneration of the forest. Some areas are also still cultivated for vegetables using traditional slash and burn techniques and on occasion this can lead to out-of-control forest fires (6). With a rapidly growing population and increasing demand for agricultural land the destruction of montane forests continues at an alarming rate. Further more there is intensive use of pesticides on vegetable cultivations and tea plantations in Sri Lanka which could be having a serious polluting affect. Although the impact these chemicals are having on non-target species is not yet known studies elsewhere indicate that they could potentially be devastating with possibilities for <strong>bioaccumulation</strong>. There is also evidence in the tropical moist montane forests of the Knuckles Mountains of large-scale forest die-back thought to be the result of acid rain and these forests are considered particularly at risk from climate change especially global warming (5).,Project Knuckles 2004 and a follow-up expedition in 2005 were initiated to conduct the first in-depth study of reptiles and the primary threats facing them in the Knuckles Mountain Range (6). It was discovered that the region held some of the highest reptile diversity in the country and is therefore an important site for conservation. Tennentâ??s leaf-nosed lizard was one of three target species studied (9). As of 2000 areas above 1067 m above sea level were given protected status as conservation forest. As such cardamom cultivation has had to be abandoned in the area. However rather than allowing the natural regeneration of native forest the cardamom appears to have been replaced by a series of invasive weeds such as mistflower (<i>Eupatorium riparium</i>) and Lantana (<i>Lantana camara</i>) (6). Fortunately Tennentâ??s leaf-nosed lizards appear to be fairly adaptable and tolerant of some degree of habitat disturbance having been recorded from forests under planted with cardamom and pine plantations providing hope for the long-term survival of this unique unusual looking reptile (3) (6). ,loss;fragmentation;pet; ,protected; ,Critically Endangered,"['Cambodia', 'Thailand', 'Vietnam', 'Laos']",4,3,
