_id,ltable_id,rtable_id,ltable_Unnamed,ltable_name,ltable_genus,ltable_family,ltable_ecology,ltable_countries,ltable_threat_paragraph,ltable_conservation_paragraph,ltable_pop_trend,ltable_status,ltable_country_count,ltable_scientific_name,ltable_block,rtable_Unnamed,rtable_scientific_name,rtable_name,rtable_kingdom,rtable_phylum,rtable_class,rtable_order,rtable_family,rtable_genus,rtable_size,rtable_threats,rtable_conservation,rtable_threat_keywords,rtable_conservation_keywords,rtable_tCount,rtable_cCount,rtable_block,label
4865205,5395,614,5395,,Melanopsis,Melanopsidae,Freshwater,Morocco; ,"
    Shells are collected for sale. However there are few collectors and they are obviously trying not to kill off the whole population. Human populations in this area are expanding, and increasing drought, water diversion, pastoralization all represent significant threats to waterways in this area, so there is a decline in habitat quality.

    
  ",['\n    No information available.\n\n    \n  '],Unknown,"
    Critically Endangered


    B2ab(iii)

    ",1,Melanopsis brevicula,yes,614,Melanopsis etrusca,melanopsis ,Animalia,Mollusca,Gastropoda,Sorbeoconcha,Melanopsidae,Melanopsis ,,Removal of water from the sites in which <em>Melanopsis etrusca</em> lives is a major threat to this species (1) as it is unable to withstand desiccation (2). A large subpopulation located on a farm at Poggetti Vecchi is at high risk of extinction as a result of temporary drainage of the pool in which this <strong>mollusc</strong> species is found (1).,<em>Melanopsis etrusca </em>is a protected species in Tuscany and is listed under Annexes A and B of the Tuscany Regional Law 56/2000. This means that the species itself is protected and that its protection may require the designation of a Regional Important Site at the locations where it remains (1). ,invasive;pet; ,protected; ,2,1.0,yes,0
7270164,4194,918,4194,,Eleutherodactylus,Eleutherodactylidae,Terrestrial,Dominican Republic; ,"
    The major threat is habitat destruction due to the cultivation of crops and the rearing of livestock.

    
  ","['\n    It is known from several protected areas, including Valle Nuevo Natural Scientific Reserve.\n\n    \n  ']",Decreasing,"
    Endangered


    B1ab(iii)+2ab(iii)

    ",1,Eleutherodactylus minutus,yes,918,Eleutherodactylus schwartzi,virgin islands coqui ,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Eleutherodactylus ,Female snout-vent length: up to 34 mm (2),Currently almost a quarter of all amphibian species on the British Virgin Islands are categorised as endangered indicating that the islands‚?? unique fauna is facing a wealth of threats. Habitat degradation and conversion to developments for tourism human settlements and road construction are particularly severe problems while predation from introduced mammals such as rats and mongoose also threatens many native species (6). As a result of these threats the range of the Virgin Islands coqui has become highly fragmented and there is an ongoing decline in the quality of its habitat. The small distinct population on Great Dog is particularly vulnerable. The Virgin Islands coqui also appears to be declining with the spread of the predatory Cuban tree frog (<em>Osteopilus septentrionalis</em>) (1).<em>† </em>,A number of conservation recommendations have been made to protect the native fauna of the British Virgin Islands including the creation of protected areas and minimising the impacts of development through the better enforcement of protective legislation. Increased monitoring efforts for amphibian populations may also be required given the potential for deadly diseases such as the fungus chytridiomycosis to break out on the island especially as disease has been associated with dramatic amphibian declines on nearby islands (6). Additional study and protection of the Virgin Islands coqui population on Great Dog is a conservation priority for the species while there is also a need to afford its habitat on Tortola and Virgin Gorda increased protection and control invasive predators (1) (6). , ,protected; ,0,1.0,yes,0
4410691,2036,557,2036,,Shorea,Dipterocarpaceae,Terrestrial,Brunei Darussalam; Indonesia (Kalimantan); Malaysia (Sabah); ,,,,"
    Endangered


    A1cd, C2a

    ",3,Shorea domatiosa,yes,557,Shorea leprosula,light red meranti ,Plantae,Tracheophyta,Magnoliopsida,Theales,Dipterocarpaceae,Shorea ,Height: up to 60 m (2),Light red meranti has been heavily exploited for its valuable timber leaving populations of this threatened tree drastically reduced (1).,The light red meranti is known to occur in some forest reserves (1). , , ,0,0.0,yes,0
2430059,154,307,154,,Squalius,Cyprinidae,Freshwater,Spain; ,"
    The species habitat has been reduced by water abstraction, mainly due to the proliferation of golf fields.

    
  ",['\n    No information.\n\n    \n  '],Decreasing,"
    Endangered


    B1ab(ii,iii,v)+2ab(ii,iii,v)

    ",1,Squalius malacitanus,yes,307,Squalius keadicus,european dace ,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Squalius ,Maximum length: 25 cm (2),Restricted to just a single river the European dace is primarily threatened by the loss of its habitat. Although the Evrotas River naturally dries up during periods of drought water extraction for agriculture has exacerbated this resulting in fish being stranded in stagnant pools of water with low oxygen concentration and high temperatures (1) (6). This was most severe in 2007 when a prolonged drought resulted in around 80 percent of the main river course drying up (6). As the European dace inhabits fast flowing cold waters mass fish mortality has been observed in areas where its habitat has been degraded in such a way (5). Fish communities within the Evrotas River have also suffered from pollution with lowland parts of the river often near urban areas being the most severely effected (1) (6).,The Evrotas River home to the European dace is a unique biodiversity hotspot within Greece. Its waters support many <strong>endemic</strong> species of plants and fish and consequently protecting this fragile environment is a key conservation priority (6). The importance of this river and a plan for its conservation is outlined in the EU Water Framework Directive. This requires habitat monitoring and management programmes to be implemented whilst tackling the threats to the river (6) (7). Furthermore establishing protected areas and developing sustainable water management plans will be crucial in preserving the European dace for the future (1) (2). ,loss;pollution; ,protected; ,2,1.0,yes,0
2103797,6322,265,6322,,Shorea,Dipterocarpaceae,Terrestrial,"Indonesia (Maluku, Sulawesi); ",,,,"
    Critically Endangered


    A1cd

    ",1,Shorea montigena,yes,265,Shorea platyclados,dark red meranti ,Plantae,Tracheophyta,Magnoliopsida,Theales,Dipterocarpaceae,Shorea ,Trunk diameter: up to 172 cm (2),Dipterocarp forests have become amongst the most endangered in the world widely logged for use in furniture-making general construction and boat-building (7). Furthermore the slow growth of these trees and late flowering mean that many trees are cut down before having a chance to reproduce (4).,Some subpopulations of this species are found in primary forest reserves where they receive varying levels of protection (1). Furthermore because of their high economic value there have been efforts to replant dipterocarp forests which may include species such as this dark red meranti (4). , , ,0,0.0,yes,0
6621263,4323,836,4323,furtive tucotuco,Ctenomys,Ctenomyidae,Terrestrial,Argentina; ,"
    The original range of this species is under severe pressure from habitat loss and degradation to agricultural expansion, mainly to sugar cane and soy. Most of the lost habitat has been destroyed in the last six years.

    
  ",['\n    There is no information available about any conservation measures being made to protect this species. Further research is necessary to clarify the true status of this species.\n\n    \n  '],Decreasing,"
    Endangered


    B1ab(i,iii)

    ",1,Ctenomys occultus,yes,836,Ctenomys australis,southern tucotuco ,Animalia,Chordata,Mammalia,Rodentia,Ctenomyidae,Ctenomys ,250 - 600g (2),The main threat to the southern tuco-tuco is the loss of its costal habitat a consequence of both the development of tourist resorts and the creation of pine plantations (1).,There are currently no known specific conservation measures in place to protect the southern tuco-tuco (1). ,loss; , ,1,0.0,yes,0
11150423,6103,1408,6103,,Shorea,Dipterocarpaceae,Terrestrial,Malaysia (Sarawak); ,,,,"
    Critically Endangered


    A1cd, C2a

    ",1,Shorea lunduensis,yes,1408,Shorea almon,philippine mahogany ,Plantae,Tracheophyta,Magnoliopsida,Theales,Dipterocarpaceae,Shorea ,Height: 70 m (2)Trunk diameter: 1.6 m (2),The Philippine mahogany has become depleted due to logging and <strong>slash-and-burn</strong> farming (2).  The moderately hard and comparatively light timber is in great demand for plywood (2) (3) and is also used for furniture boat decking and for many other purposes (2).,Despite being Critically Endangered it is not clear whether any conservation measures exist for this species. , , ,0,0.0,yes,0
12503890,6105,1579,6105,,Shorea,Dipterocarpaceae,Terrestrial,Malaysia (Sarawak); ,,,,"
    Critically Endangered


    A1cd

    ",1,Shorea mujongensis,yes,1579,Shorea contorta,white lauan ,Plantae,Tracheophyta,Magnoliopsida,Theales,Dipterocarpaceae,Shorea ,Height: up to 50 m (2)Trunk diameter: up to 182 cm (2),Numbers of white lauan have become depleted due to logging and <strong>slash-and-burn</strong> agriculture (2) (4).  The valuable timber of the white lauan is used for general construction and for furniture making (2).,The white lauan most likely occurs in a number of protected areas throughout the Philippines such as the Sierra Madre.  However despite this so-called protection illegal logging activities can continue to pose a threat (5). , ,protected; ,0,1.0,yes,0
12290934,6854,1552,6854,,Turbinicarpus,Cactaceae,Terrestrial,Mexico (Guanajuato); ,"
    These plants are threatened by illegal collecting. The habitat has become widely known to collectors. Since its discovery, the population has been reduced by more than 50%.

    
  ","['\n    This cactus does not occur in any protected area. It is listed on CITES Appendix I, but the laws governing imports in the countries of destination need to be enforced.  This species is currently propagated in Europe from illegally collected plants.', <br/>, 'The Cadereyta Regional Botanic Gardens has developed a universal  technique to reproduce species of the genus ', <em>Turbinicarpus</em>, ' (including ', <em> Gymnocactus</em>, '), with a rate of 5x/4 weeks and 95% soil adaptation success  (E. S√°nchez pers. comm. 2011).\n\n    \n  ']",Decreasing,"
    Critically Endangered


    B1ab(v)+2ab(v)

    ",1,Turbinicarpus alonsoi,yes,1552,Turbinicarpus alonsoi,turbinicarpus ,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Turbinicarpus ,Diameter: up to 9 cm (2),Illegal collection is the main threat to <em>Turbinicarpus alonsoi</em> (1). At the time of its discovery it was one of the most sought-after cacti. Artificial propagation in high numbers made it quickly available to collectors although wild plants and possibly seeds were still exported illegally from Mexico. Nowadays plants seedlings and seeds of cultivated origin are quite common but wild populations have suffered significantly from illegal collection with the plants having drastically diminished in number at the more accessible sites near the road (5). The wild population is currently estimated at around 5000 individuals restricted to just one tiny area and its numbers have more than halved since the species‚?? discovery (1).,<em>Turbinicarpus alonsoi </em>is listed on Appendix I of the Convention on International Trade in Endangered Species (CITES) which includes species threatened with extinction which are or may be affected by trade. Trade in this species should be subject to particularly strict regulation in order not to further endanger its survival and must only be authorized in exceptional circumstances (3). , ,cites; ,0,1.0,yes,1
12491914,2044,1578,2044,dark red meranti,Shorea,Dipterocarpaceae,,Indonesia (Sumatera); Malaysia; Philippines; ,,['\n    The tree occurs in some primary forest reserves.\n\n    \n  '],,"
    Endangered


    A1cd

    ",3,Shorea ovata,yes,1578,Shorea contorta,white lauan ,Plantae,Tracheophyta,Magnoliopsida,Theales,Dipterocarpaceae,Shorea ,Height: up to 50 m (2)Trunk diameter: up to 182 cm (2),Numbers of white lauan have become depleted due to logging and <strong>slash-and-burn</strong> agriculture (2) (4).  The valuable timber of the white lauan is used for general construction and for furniture making (2).,The white lauan most likely occurs in a number of protected areas throughout the Philippines such as the Sierra Madre.  However despite this so-called protection illegal logging activities can continue to pose a threat (5). , ,protected; ,0,1.0,yes,0
7273434,7464,918,7464,great peeping frog,Eleutherodactylus,Eleutherodactylidae,Terrestrial,Mexico; ,"
    The extension of Mexico City has resulted in the disappearance of most of the available suitable habitat for this species, with the result that it is now believed to be restricted to a very small protected area, the Pedregal Reserve. The Pedregal has been subject to long-term disturbance (fragmentation and isolation), and is now little more than an isolated vegetation fragment of 160 ha with no natural corridors.

    
  ","['\n    Survey work is urgently needed to establish the current population status of this species, subsequent to which a recovery program and strict protection of the species in the Pedregal Reserve and surroundings areas might need to be implemented. It is protected by Mexican law under the ""Special Protection"" category (Pr).\n\n    \n  ']",Decreasing,"
    Critically Endangered


    B1ab(iii)+2ab(iii)

    ",1,Eleutherodactylus grandis,yes,918,Eleutherodactylus schwartzi,virgin islands coqui ,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Eleutherodactylus ,Female snout-vent length: up to 34 mm (2),Currently almost a quarter of all amphibian species on the British Virgin Islands are categorised as endangered indicating that the islands‚?? unique fauna is facing a wealth of threats. Habitat degradation and conversion to developments for tourism human settlements and road construction are particularly severe problems while predation from introduced mammals such as rats and mongoose also threatens many native species (6). As a result of these threats the range of the Virgin Islands coqui has become highly fragmented and there is an ongoing decline in the quality of its habitat. The small distinct population on Great Dog is particularly vulnerable. The Virgin Islands coqui also appears to be declining with the spread of the predatory Cuban tree frog (<em>Osteopilus septentrionalis</em>) (1).<em>† </em>,A number of conservation recommendations have been made to protect the native fauna of the British Virgin Islands including the creation of protected areas and minimising the impacts of development through the better enforcement of protective legislation. Increased monitoring efforts for amphibian populations may also be required given the potential for deadly diseases such as the fungus chytridiomycosis to break out on the island especially as disease has been associated with dramatic amphibian declines on nearby islands (6). Additional study and protection of the Virgin Islands coqui population on Great Dog is a conservation priority for the species while there is also a need to afford its habitat on Tortola and Virgin Gorda increased protection and control invasive predators (1) (6). , ,protected; ,0,1.0,yes,0
4415008,6353,557,6353,"dark red meranti, meranti merah",Shorea,Dipterocarpaceae,Terrestrial,Indonesia (Sumatera); Malaysia (Peninsular Malaysia); Thailand; ,,,,"
    Critically Endangered


    A1cd

    ",3,Shorea singkawang,yes,557,Shorea leprosula,light red meranti ,Plantae,Tracheophyta,Magnoliopsida,Theales,Dipterocarpaceae,Shorea ,Height: up to 60 m (2),Light red meranti has been heavily exploited for its valuable timber leaving populations of this threatened tree drastically reduced (1).,The light red meranti is known to occur in some forest reserves (1). , , ,0,0.0,yes,0
6273230,4550,792,4550,,Barbus,Cyprinidae,Freshwater,Burundi; Rwanda; ,"
    Water turbidity due to erosion in the watershed.

    
  ",['\n    Unknown.\n\n    \n  '],Unknown,"
    Endangered


    B1ab(ii,iii)+2ab(ii,iii)

    ",2,Barbus claudinae,yes,792,Barbus serra,sawfin ,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Barbus ,up to 7 kg (3),Once widespread and abundant throughout the Olifants River system (2) recent surveys found that sawfin numbers are now dangerously low and it has disappeared entirely from parts of the main stem of the Olifants River (4).  This has been caused by introduced predatory fish primarily the smallmouth bass (<i>Micropterus dolomieu</i>) in addition to habitat degradation and fragmentation (2).  As the Olifants River region experiences hot dry summers water is extracted from the main river and its tributaries to irrigate the surrounding agricultural land.  Impoundments are also constructed to store water after the winter rainy season.  Furthermore river beds are bulldozed into wide channels to prevent the adjacent land from being flooded in the rainy season (2).  Such activities greatly alter the habitat of the sawfin and restrict its ability to move freely between different areas.,CapeNature a public institution responsible for biodiversity in the Western Cape (5) classifies the sawfin as endangered which makes it an offence to remove captured fish from rivers and dams.  CapeNature also undertakes regular surveys of the Olifants River system and has successfully cultured the sawfin since 1994.  Juveniles are then introduced to suitable natural habitats or stocked into farm dams to establish refuge populations.  Small parts of the sawfin‚??s range fall within protected areas including the Cedarberg Matjies River and Oorlogskloof Nature Reserves (2).  However to ensure the sawfin‚??s future it is vital to protect the habitat in the specific tributaries and the small section of the Olifants River mainstream where the sawfin remains abundant.  In addition efforts to prevent further introductions of alien predatory fish species are imperative (2). ,fragmentation; ,protected; ,1,1.0,yes,0
2350778,23,297,23,"celebes tortoise, forstens tortoise, travancore tortoise",Indotestudo,Testudinidae,,Indonesia; ,,['\n    It is listed on CITES Appendix II.\n\n    \n  '],,"
    Endangered


    A1cd+2cd

    ",1,Indotestudo forstenii,yes,297,Indotestudo elongata,elongated tortoise ,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Indotestudo ,3.5 kg (2),The elongated tortoise is under extreme pressure across most of its range largely†due to it being widely harvested and sold on the Asian food markets (2). It is the most common tortoise to be shipped to the Chinese food markets from Vietnam (2); approximately 100000 were shipped from Ho Chi Minh City in 1993 (5).,This species has been placed on Appendix II of the Convention on International Trade in Endangered Species (CITES) which regulates its legal international trade (2). ,pet; ,cites;captive breeding; ,1,2.0,yes,0
