,id,scientific_name,name,kingdom,phylum,class,order,family,genus,size,threats,conservation,threat_keywords,conservation_keywords,tCount,cCount
13,13,Encephalartos arenarius,alexandria cycad ,Plantae,Tracheophyta,Cycadopsida,Cycadales,Zamiaceae,Encephalartos ,Stem height: 1 - 2 m (2),Although it was once plentiful across its range the Alexandria cycad is now relatively rare in the wild with a population size of just 850 to 1500 mature individuals (1) (2) (7) (8). Although clearance of habitat for farming was the main cause of its decline in the early 20th century in more recent times large numbers of this species have been removed by collectors (7) (8).,There are not known to be any specific conservation measures in place for the Alexandria cycad but it is listed on Appendix I of CITES which permits trade only under exceptional circumstances (3). , ,cites; ,0,1.0
14,14,Pentalagus furnessi,amami rabbit ,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Pentalagus ,up to 2 kg (3),Widespread habitat degradation has recently occurred on these islands and it is estimated that as little as 5% of the forest cover of 1981 remains (1). In addition predation by introduced mammalian predators such as dogs cats and mongooses poses a further threat to the survival of this species (4). Mongooses were introduced in the 1980s in an attempt to control the number of habu pit vipers (<i>Trimeresurus flavoviridis</i>) on the island; they have however devastated other species‚?? populations instead (3).,The Amami rabbit is classified as a Japanese National Monument and as such receives protection from hunting and capture (3). However habitat loss is currently the major threat to the survival of this rare species and the protection of remaining forests will be the key to securing the future of both this unique rabbit and other members of Amami‚??s natural heritage (3). , , ,0,0.0
15,15,Pentalagus furnessi,amami rabbit ,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Pentalagus ,up to 2 kg (3),Widespread habitat degradation has recently occurred on these islands and it is estimated that as little as 5% of the forest cover of 1981 remains (1). In addition predation by introduced mammalian predators such as dogs cats and mongooses poses a further threat to the survival of this species (4). Mongooses were introduced in the 1980s in an attempt to control the number of habu pit vipers (<i>Trimeresurus flavoviridis</i>) on the island; they have however devastated other species‚?? populations instead (3).,The Amami rabbit is classified as a Japanese National Monument and as such receives protection from hunting and capture (3). However habitat loss is currently the major threat to the survival of this rare species and the protection of remaining forests will be the key to securing the future of both this unique rabbit and other members of Amami‚??s natural heritage (3). , , ,0,0.0
16,16,Leopardus jacobita,andean cat ,Animalia,Chordata,Mammalia,Carnivora,Felidae,Oreailurus ,4 kg (2),It is not clear whether the rarity of the Andean cat is a natural phenomenon or attributable to human actions. Alternatively it may simply be a misperception resulting from lack of observations (2). Pelts of this species have been seen in local markets occasionally killed by herders who carry guns (2). The high Andean Indians appear to have little knowledge of this species and the only pelts observed to be used in local ceremonies have been those of the pampas cat (5). There are no records of international trade of this species either. It is therefore thought that hunting of the Andean cat is primarily carried out to protect local cattle (1). The common threat of habitat destruction common worldwide does not apply here as there have been no significant changes in land-use of the high Andes over the last 2000 years. If anything the human population has decreased in these regions (2).,International trade of this species is prohibited by its listing on Appendix I of CITES (3) and according to national legislation the Andean cat is fully protected throughout its range (2). There is a huge gap in our knowledge of this species and how to best protect it. However since the publication of the Cat Action Treasury Plan there have been substantial increases in research efforts (1) (7). The Cat Action Treasury has sponsored surveys to determine the status of this species and improve our understanding of this cat in order to inform conservation measures (8). These surveys confirmed the rarity of this species. The Andean cat has been upgraded from Vulnerable to Endangered on the IUCN Red List (1) (7). It has been suggested by the Andean Cat Alliance (AGA) previously the Committee for the Conservation of the Andean Cat (COCGA) that because this cat needs large areas to live successfully and its range extends over the Andes through international borders a multinational cooperative approach is necessary for its long-term conservation (5). AGA has launched a multinational project to collate and analyse data on the on the Andean cat in order to initiate immediate conservation efforts and in 2004 a conservation action plan was drawn up for the species. The fact that there are no captive specimens or breeding programmes for the Andean cat means that the survival of this species depends on the development and success of these conservation measures (5). ,hunting; ,cites;protected; ,1,2.0
17,17,Leopardus jacobita,andean cat ,Animalia,Chordata,Mammalia,Carnivora,Felidae,Oreailurus ,4 kg (2),It is not clear whether the rarity of the Andean cat is a natural phenomenon or attributable to human actions. Alternatively it may simply be a misperception resulting from lack of observations (2). Pelts of this species have been seen in local markets occasionally killed by herders who carry guns (2). The high Andean Indians appear to have little knowledge of this species and the only pelts observed to be used in local ceremonies have been those of the pampas cat (5). There are no records of international trade of this species either. It is therefore thought that hunting of the Andean cat is primarily carried out to protect local cattle (1). The common threat of habitat destruction common worldwide does not apply here as there have been no significant changes in land-use of the high Andes over the last 2000 years. If anything the human population has decreased in these regions (2).,International trade of this species is prohibited by its listing on Appendix I of CITES (3) and according to national legislation the Andean cat is fully protected throughout its range (2). There is a huge gap in our knowledge of this species and how to best protect it. However since the publication of the Cat Action Treasury Plan there have been substantial increases in research efforts (1) (7). The Cat Action Treasury has sponsored surveys to determine the status of this species and improve our understanding of this cat in order to inform conservation measures (8). These surveys confirmed the rarity of this species. The Andean cat has been upgraded from Vulnerable to Endangered on the IUCN Red List (1) (7). It has been suggested by the Andean Cat Alliance (AGA) previously the Committee for the Conservation of the Andean Cat (COCGA) that because this cat needs large areas to live successfully and its range extends over the Andes through international borders a multinational cooperative approach is necessary for its long-term conservation (5). AGA has launched a multinational project to collate and analyse data on the on the Andean cat in order to initiate immediate conservation efforts and in 2004 a conservation action plan was drawn up for the species. The fact that there are no captive specimens or breeding programmes for the Andean cat means that the survival of this species depends on the development and success of these conservation measures (5). ,hunting; ,cites;protected; ,1,2.0
18,18,Leopardus jacobita,andean cat ,Animalia,Chordata,Mammalia,Carnivora,Felidae,Oreailurus ,4 kg (2),It is not clear whether the rarity of the Andean cat is a natural phenomenon or attributable to human actions. Alternatively it may simply be a misperception resulting from lack of observations (2). Pelts of this species have been seen in local markets occasionally killed by herders who carry guns (2). The high Andean Indians appear to have little knowledge of this species and the only pelts observed to be used in local ceremonies have been those of the pampas cat (5). There are no records of international trade of this species either. It is therefore thought that hunting of the Andean cat is primarily carried out to protect local cattle (1). The common threat of habitat destruction common worldwide does not apply here as there have been no significant changes in land-use of the high Andes over the last 2000 years. If anything the human population has decreased in these regions (2).,International trade of this species is prohibited by its listing on Appendix I of CITES (3) and according to national legislation the Andean cat is fully protected throughout its range (2). There is a huge gap in our knowledge of this species and how to best protect it. However since the publication of the Cat Action Treasury Plan there have been substantial increases in research efforts (1) (7). The Cat Action Treasury has sponsored surveys to determine the status of this species and improve our understanding of this cat in order to inform conservation measures (8). These surveys confirmed the rarity of this species. The Andean cat has been upgraded from Vulnerable to Endangered on the IUCN Red List (1) (7). It has been suggested by the Andean Cat Alliance (AGA) previously the Committee for the Conservation of the Andean Cat (COCGA) that because this cat needs large areas to live successfully and its range extends over the Andes through international borders a multinational cooperative approach is necessary for its long-term conservation (5). AGA has launched a multinational project to collate and analyse data on the on the Andean cat in order to initiate immediate conservation efforts and in 2004 a conservation action plan was drawn up for the species. The fact that there are no captive specimens or breeding programmes for the Andean cat means that the survival of this species depends on the development and success of these conservation measures (5). ,hunting; ,cites;protected; ,1,2.0
19,19,Boehmantis microtympanum,angels madagascar frog ,Animalia,Chordata,Amphibia,Anura,Mantellidae,Boehmantis ,Male length: 5.3 cm (2)Female length: 7.6 cm (2),Owing to its restricted range Angel‚??s Madagascar frog is highly vulnerable to the ongoing large-scale degradation and destruction of forest that is occurring in south-east Madagascar. Although this species remains relatively abundant at some localities a multitude of threats including expanding human settlements agriculture logging livestock grazing charcoal manufacture and the spread of invasive eucalyptus are causing its population to decline. The pressures have already proven severe enough to cause local extinctions around Fort Dauphin near the southern limit of the Angel‚??s Madagascar frog‚??s range (1).,While there are no known conservation measures specifically targeting Angel‚??s Madagascar frog it is found in two protected areas the Andohahela and Midongy-du-Sud National Parks (1). Nevertheless increased protection of this species‚?? habitat along with educational programs to inform local people of how best to manage the forests sustainably are vital measures that must be implemented if Angel‚??s Madagascar frog is to be conserved (6). ,invasive; ,protected; ,1,1.0
20,20,Boehmantis microtympanum,angels madagascar frog ,Animalia,Chordata,Amphibia,Anura,Mantellidae,Boehmantis ,Male length: 5.3 cm (2)Female length: 7.6 cm (2),Owing to its restricted range Angel‚??s Madagascar frog is highly vulnerable to the ongoing large-scale degradation and destruction of forest that is occurring in south-east Madagascar. Although this species remains relatively abundant at some localities a multitude of threats including expanding human settlements agriculture logging livestock grazing charcoal manufacture and the spread of invasive eucalyptus are causing its population to decline. The pressures have already proven severe enough to cause local extinctions around Fort Dauphin near the southern limit of the Angel‚??s Madagascar frog‚??s range (1).,While there are no known conservation measures specifically targeting Angel‚??s Madagascar frog it is found in two protected areas the Andohahela and Midongy-du-Sud National Parks (1). Nevertheless increased protection of this species‚?? habitat along with educational programs to inform local people of how best to manage the forests sustainably are vital measures that must be implemented if Angel‚??s Madagascar frog is to be conserved (6). ,invasive; ,protected; ,1,1.0
21,21,Ophisternon infernale,anguila ciega ,Animalia,Chordata,Actinopterygii,Synbranchiformes,Synbranchidae,Ophisternon ,Length: up to at least 32.5 cm (2),The main threats to this species are various forms of water pollution caused by humans. In rural areas sewage is rarely treated before being discarded and industrial and domestic waste is sometimes disposed of in caves. Another threat comes from over-harvesting of freshwater which may lead to <strong>saline waters</strong> creeping into the normally freshwater zone. The human population of the Yucatan peninsula is growing so a greater and greater strain on water resources can be expected in the future. Another potential threat is the modification and/or the intensive use of this fish‚??s habitat by humans for recreational or tourism purposes (2).,There are currently no conservation measures targeting the Anguila ciega. ,pollution; , ,1,0.0
22,22,Ophisternon infernale,anguila ciega ,Animalia,Chordata,Actinopterygii,Synbranchiformes,Synbranchidae,Ophisternon ,Length: up to at least 32.5 cm (2),The main threats to this species are various forms of water pollution caused by humans. In rural areas sewage is rarely treated before being discarded and industrial and domestic waste is sometimes disposed of in caves. Another threat comes from over-harvesting of freshwater which may lead to <strong>saline waters</strong> creeping into the normally freshwater zone. The human population of the Yucatan peninsula is growing so a greater and greater strain on water resources can be expected in the future. Another potential threat is the modification and/or the intensive use of this fish‚??s habitat by humans for recreational or tourism purposes (2).,There are currently no conservation measures targeting the Anguila ciega. ,pollution; , ,1,0.0
23,23,Brookesia perarmata,antsingy leaf chameleon ,Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,Brookesia ,Length: up to 11cm (2),Chameleons are favoured as pets across the world due to their fascinating appearance and behaviour. Collection and trade has therefore taken its toll on many chameleon species but international trade in this species is now prohibited (9). However habitat degradation remains a threat even though the species is found within a national park. As this species depends on the presence of leaf litter for food shelter and laying its eggs and also on low shrubs and seedlings for roosting at night its survival is dependent on maintaining the existing vegetation structure within the Tsingy forests (5) (10).,The Antsingy leaf chameleon is listed on Appendix I of the Convention on International Trade of Endangered Species (CITES) and as such international trade of this species is illegal (3). Its survival is not immediately threatened in the wild although it is still justifiably a conservation priority because of its limited range and the continued degradation of its favoured habitats within the national park (1) (2) (10). ,pet; ,cites; ,1,1.0
24,24,Pelophryne api,api dwarf toad ,Animalia,Chordata,Amphibia,Anura,Bufonidae,Pelophryne ,Snout-vent length: 21 mm (2),The Api dwarf toad appears to have an extremely restricted range meaning that even a relatively small-scale disturbance could have a devastating impact on its population. Furthermore the extent and quality of its habitat on Borneo is continuing to decline (1).,The Gunung Mulu National Park home to the only known population of the Api dwarf toad is a protected area and the most studied tropical karst area in the world. Nonetheless further survey work is needed to establish the size of the population in the park and to determine whether this species is present in any other limestone karst areas on Borneo (1). , ,protected; ,0,1.0
25,25,Cistothorus apolinari,apolinars wren ,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Cistothorus ,Length: 12 cm (2),Apolinar‚??s wren has a small population and this combined with its limited geographical range results in an inherent threat of extinction. Numbers of Apolinar‚??s wren have indeed declined significantly in the last 50 to 70 years primarily due to a 95 percent loss in habitat (3). A significant cause of this habitat destruction is the burning of wetlands for agriculture mainly onion cultivation and cattle-farming. With agriculture also frequently comes the use of insecticides and other chemicals resulting in a reduction in this bird‚??s insect prey and posing a toxic threat to the bird. In areas around the capital Bogot√° remaining wetland habitats are at risk from human settlement and highway development and reed-harvesting and tourism also pose minor threats (1).,Apolinar‚??s wren occurs in El Cocuy National Park Boyac√° and in Sumap√°z National Park Cundinamarca which may offer protection against the threat of habitat loss (2). ,loss; ,captive breeding; ,1,1.0
26,26,Cistothorus apolinari,apolinars wren ,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Cistothorus ,Length: 12 cm (2),Apolinar‚??s wren has a small population and this combined with its limited geographical range results in an inherent threat of extinction. Numbers of Apolinar‚??s wren have indeed declined significantly in the last 50 to 70 years primarily due to a 95 percent loss in habitat (3). A significant cause of this habitat destruction is the burning of wetlands for agriculture mainly onion cultivation and cattle-farming. With agriculture also frequently comes the use of insecticides and other chemicals resulting in a reduction in this bird‚??s insect prey and posing a toxic threat to the bird. In areas around the capital Bogot√° remaining wetland habitats are at risk from human settlement and highway development and reed-harvesting and tourism also pose minor threats (1).,Apolinar‚??s wren occurs in El Cocuy National Park Boyac√° and in Sumap√°z National Park Cundinamarca which may offer protection against the threat of habitat loss (2). ,loss; ,captive breeding; ,1,1.0
27,27,Arabitragus jayakari,arabian tahr ,Animalia,Chordata,Mammalia,Cetartiodactyla,Bovidae,Arabitragus ,c. 23 kg (2),The Arabian tahr is currently extremely endangered as a result of intense grazing competition from livestock illegal hunting and habitat degradation through human development (5). Unfortunately the species‚?? dependence upon visiting waterholes leaves it vulnerable to ambush by poachers (3). Human migrations to urban areas have increased in Oman in recent years resulting in domestic goats being left to become feral which now forage in areas that were once the realm of the tahr. Additionally several roads and buildings have been constructed near and within the tahr‚??s range which are new potential sources of disturbance pollution and habitat fragmentation. In particular plans for mineral extraction in southern parts of the range could result in significant habitat loss (6). Tahr populations in UAE appear to be especially localised and possibly isolated. The concern is that isolation of sub-populations will lead to the diminished genetic variation associated with inbreeding which in turn results in increased susceptibility to disease and decreased fertility spelling disaster for the Arabian tahr in UAE (3).,In 1973 efforts were initiated to protect the Arabian tahr and in 1975 active protection was granted over a wide range of the eastern Hajar Mountains of Oman with local men recruited as rangers under the Office of the Advisor for Conservation of the Environment (6). Unfortunately this area still awaits to be awarded official status by a Royal Decree with an approved funded and implemented management plan (6) (7). However in 2009 Wadi Wurayah Fujairah home to the Arbaian tahr and other rare and endangered species was officially declared as the United Arab Emirates‚?? first protected mountain area (8). ,loss;fragmentation;hunting;disease;pet;pollution; ,captive breeding;protected; ,6,2.0
