,id,name,genus,family,ecology,countries,threat_paragraph,conservation_paragraph,pop_trend,status,country_count,scientific_name
13,13,"bioko hybomys, father basilios striped mouse",Hybomys,Muridae,Terrestrial,Equatorial Guinea (Bioko); ,"
    Much of the montane forest habitat of this species has been destroyed by logging, clearing for cocoa plantations, and other agricultural activities (crops and cattle).

    
  ","['\n    There are two protected areas on the island, but neither of these are effectively managed and it is not certain if the species occurs or ocurred in either of these.\n\n    \n  ']",Unknown,"
    Endangered


    B1ab(iii)

    ",1,Hybomys basilii
14,14,"cameroon highland hybomys, eisentrauts hybomys, eisentrauts striped mouse",Hybomys,Muridae,Terrestrial,Cameroon; ,"
    There is deforestation on the lower slopes of the species mountain habitat through conversion of land to agricultural use, and the extraction of timber for firewood and building materials.

    
  ",['\n    It is not known if the species is present in any protected areas. There is an urgent need to effectively conserve remaining areas of montane forest in Cameroon.\n\n    \n  '],Decreasing,"
    Endangered


    B1ab(iii)

    ",1,Hybomys badius
15,15,nan,Hydrotarsus,Dytiscidae,,Spain (Canary Is.); ,,,,"
    Endangered


    B1+2c

    ",1,Hydrotarsus pilosus
16,16,"baers hylomyscus, baers wood mouse",Hylomyscus,Muridae,Terrestrial,Côte d'Ivoire; Ghana; Sierra Leone; ,"
    Deforestation is probably a major threat to the species; one of the localities in Ghana (Kade) has suffered intense deforestation.

    
  ","['\n    It has been recorded in Bimpong Forest Reserve, Ghana. There is a need to survey for this species in suitable habitat within the Atewa Hills, Ghana.\n\n    \n  ']",Decreasing,"
    Endangered


    B2ab(iii)

    ",3,Hylomyscus baeri
17,17,oita salamander,Hynobius,Hynobiidae,Terrestrial; Freshwater,Japan; ,"
    The major threat is habitat loss, due in particular to infrastructure development for human settlement. It is also threatened by water pollution, and is often found in the pet trade.

    
  ","['\n    It is present in several national and quasi national parks, and two populations are designated as natural monuments. There is a need to monitor and control the offtake of this species for the pet trade. Further survey work is needed to determine its current population status.\n\n    \n  ']",Decreasing,"
    Endangered


    B2ab(iii)

    ",1,Hynobius dunni
18,18,"hakuba salamander, japanese mountain salamander",Hynobius,Hynobiidae,Terrestrial; Freshwater,Japan; ,"
    Habitat loss is an important threat; for example, the habitat around Hakuba village is being destroyed as a result of the rapid construction of villas. Other threats include the shrinkage and drying of wetlands, pollution, and the pet trade.

    
  ","['\n    It is likely to occur in several protected areas, and has been designated as a natural monument by Hakuba village. There is a need to carefully monitor and control the level of offtake in this species for the pet trade.\n\n    \n  ']",Decreasing,"
    Endangered


    B1ab(iii)

    ",1,Hynobius hidamontanus
19,19,hokuriku salamander,Hynobius,Hynobiidae,Terrestrial; Freshwater,Japan; ,"
    Major threats include water pollution, predation by introduced predators, and destruction of breeding habitat from infrastructure development.

    
  ","['\n    This species is designated as a natural monument by Hakui City (Ishikawa Prefecture), and conservation and population recovery efforts are already under way in this area.\n\n    \n  ']",Decreasing,"
    Endangered


    B1ab(iii)

    ",1,Hynobius takedai
20,20,"malagasy giant jumping rat, malagasy giant rat",Hypogeomys,Nesomyidae,Terrestrial,Madagascar; ,"
    The historical decline of this species has been partly through climatic change leading to increased aridification of south-western Madagascar, and also the extensive modification of suitable habitat by humans since their arrival on the island. Current areas of habitat are threatened by slash and burn agriculture, charcoal production, burning for cattle pasture and logging (Sommer 2003). There is a road that now cuts through the middle of the species' range, and has divided the range. Throughout its range, increasing visits by hunters and their dogs have targeted this species. Also, this species has declined with the introduction of feral dogs and cats, by predation and also potentially transmission of lethal toxoplasmosis. This species could be susceptible to hantavirus, which has been shown in some rodents in eastern Madagascar.

    
  ","['\n    The new Menabe-Antimena protected area has temporary protection order and covers the entire range of the species. A successful captive-breeding programme for this species has been established by the Durrell Wildlife Conservation Trust (see Wright ', <em>et al.</em>, ' 2003). There is ongoing research on potential pathogens, and there is a need to control feral dogs and cats.\n\n    \n  ']",Decreasing,"
    Endangered


    B1ab(iii,v)

    ",1,Hypogeomys antimena
21,21,hewitsons small treenymph,Ideopsis,Nymphalidae,,Indonesia; ,,,,"
    Endangered


    B1+2c

    ",1,Ideopsis hewitsonii
22,22,"elongated tortoise, pineapple tortoise, rednosed tortoise, yellowheaded tortoise, yellow tortoise",Indotestudo,Testudinidae,,Bangladesh; Cambodia; India; Lao People's Democratic Republic; Malaysia; Myanmar; Nepal; Thailand; Viet Nam; ,,['\n    It is listed on CITES Appendix II.\n\n    \n  '],,"
    Endangered


    A1cd+2cd

    ",9,Indotestudo elongata
23,23,"celebes tortoise, forstens tortoise, travancore tortoise",Indotestudo,Testudinidae,,Indonesia; ,,['\n    It is listed on CITES Appendix II.\n\n    \n  '],,"
    Endangered


    A1cd+2cd

    ",1,Indotestudo forstenii
24,24,"spiny riversnail, spiny river snail",Io,Pleuroceridae,Freshwater,United States; ,,,,"
    Endangered


    B1+2c

    ",1,Io fluvialis
25,25,mentawi flying squirrel,Iomys,Sciuridae,Terrestrial,Indonesia (Sumatera); ,"
    Habitat loss on the two islands represents a threat to this lowland species.

    
  ","['\n    There are no conservation measures in place. Further studies are needed into distribution, abundance, reproduction and ecology of this species. Habitat maintenance, conservation and restoration are needed, as is the identification, establishment, and management of protected areas.\n\n    \n  ']",Decreasing,"
    Endangered


    B1ab(ii,iii)

    ",1,Iomys sipora
26,26,nan,Jardinella,Hydrobiidae,,Australia; ,,,,"
    Endangered


    A1ce

    ",1,Jardinella acuminata
27,27,nan,Jardinella,Hydrobiidae,Freshwater,Australia (Queensland); ,"
    All the known localities of this species are within the boundaries of one cattle station, and therefore it is threatened by habitat damage caused by cattle. In addition this species is likely to be threatened by the impacts of local drawdown of water (Ponder 1996).

    
  ","['\n    There are no species-specific conservation measures in place for this species, however it was previously assessed as Vulnerable D2 in 1996 (version 2.3), and Endangered in 1994. The small springs in which this species lives flow from Tertiary basalts and are not derived from the Great Artesian Basin. This means that it is necessary to not only protect the individual springs where this species occurs, but to also manage the usage of the water from the springs, as local drawdown is potentially a problem (Ponder 1996). Further research is recommended to ascertain a current population estimate for this species, and to monitor the existing populations.\n\n    \n  ']",Unknown,"
    Endangered


    B1ab(iii)+2ab(iii)

    ",1,Jardinella exigua
28,28,nan,Jardinella,Hydrobiidae,,Australia; ,,,,"
    Endangered


    A1ce

    ",1,Jardinella jesswiseae
29,29,nan,Jardinella,Hydrobiidae,,Australia; ,,,,"
    Endangered


    A1ce

    ",1,Jardinella pallida
30,30,nan,Jardinella,Hydrobiidae,Freshwater,Australia (Queensland); ,"
    The spring in which this species resides is situated within pastoral land, and therefore this species is threatened by habitat damage caused by cattle and other pastoral activities. In addition, this species is likely to be threatened by the impacts of local drawdown of water (Ponder 1996).

    
  ","['\n    There are no species-specific conservation measures in place for this species, however it was previously assessed as Vulnerable D2 in 1996 (version 2.3) as and Endangered in 1994. Proper management of the spring where this species occurs is the only option to ensure its long-term survival. This means that it is not only necessary to protect the individual spring, but to also manage the usage of the water from the spring, as local drawdown is a problem (Ponder 1996). Further research is recommended to ascertain a current population estimate for this species, to monitor existing populations and further survey work is needed to establish if this species occurs in other springs nearby.\n\n    \n  ']",Unknown,"
    Endangered


    B1ab(iii)+2ab(iii)

    ",1,Jardinella zeidlerorum
31,31,nan,Joiceya,Lycaenidae,,Brazil; ,,,,"
    Endangered


    B1+2c

    ",1,Joiceya praeclarus
32,32,nan,Kawanaphila,Tettigoniidae,,Australia; ,,,,"
    Endangered


    B1+2bd

    ",1,Kawanaphila pachomai
33,33,tanzanian woolly bat,Kerivoula,Vespertilionidae,Terrestrial,"Tanzania, United Republic of; ","
    It is threatened by the loss of coastal forests, largely through conversion of land to subsistence agriculture and harvesting of timber and firewood for local use.

    
  ",['\n    It has been recorded from Morogoro (presumably within the Morogoro State Forest Reserve) and Genda Genda (possibly in a Forest Reserve). There is a need to prevent further loss of coastal forest habitat. Further studies are needed into the distribution of this species to locate additional populations.\n\n    \n  '],Decreasing,"
    Endangered


    B2ab(iii)

    ",1,Kerivoula africana
34,34,nan,Kimboraga,Camaenidae,,Australia; ,,,,"
    Endangered


    C2b

    ",1,Kimboraga exanima
35,35,thessalogovis,Knipowitschia,Gobiidae,Freshwater,Greece; ,"
    Habitat destruction and water pollution.

    
  ","['\n    Listed in the Appendix III of the Bern Convention as ', <em>Gobius thessalus</em>, '.\n\n    \n  ']",Unknown,"
    Endangered


    B2ab(ii,iii,v)

    ",1,Knipowitschia thessala
36,36,nile lechwe,Kobus,Bovidae,Terrestrial; Freshwater,Ethiopia; South Sudan; ,"
    The wildlife of the Sudd and Machar-Gambella wetlands of southern Sudan and south-western Ethiopia has been severely affected by civil war, the displacement and resettlement of human populations, proliferation of firearms and increased hunting for meat (Falchetti in press). Nile Lechwe are likely to be very strongly constrained by large numbers of cattle that penetrate deep into the Sudd during the dry season and they are commonly very close to dense herds of cattle during the day, but always in water that is too deep for the latter to graze in (Falchetti in press).

    
  ","['\n    In the Sudan, populations of Nile Lechwe occur in three nominal protected areas: Zeraf, extending over 9,700 km² along the Bahr-el-Zeraf; Fanyikang, over 480 km², north of Bahr-el-Gazal, which separates them from the Zeraf Reserve; and Shambe, over 620 km², along Bahr-el-Gebel. However, Nile Lechwe move in and out of these nominally protected areas and most occur in areas that are shared seasonally with huge herds of cattle. In Ethiopia, they occur in the Gambella N.P., which has yet to be officially gazetted (see Falchetti in press).', <br/>, <br/>, 'Falchetti (1998) outlined priorities for both ', <em>in situ</em>, ' and ', <em>ex situ</em>, ' conservation of this species. The urgent need to address these priorities as opportunity permits is underlined by plans to resuscitate the construction of the Jonglei canal, introduce irrigation and exploit oil reserves in southern Sudan (in the Sudd and in Zeraf; Fay ', <em>et al.</em>, "" 2007), which could result in a dramatic deterioration of the Nile Lechwe's status (East 1999)."", <br/>, <br/>, 'There is an increasing population of Nile Lechwe held in captivity (Falchetti 1998).\n\n    \n  ']",Decreasing,"
    Endangered


    A2a

    ",2,Kobus megaceros
37,37,fossorial giant rat,Kunsia,Cricetidae,Terrestrial,Argentina; Brazil; ,"
    Unknown.

    
  ",['\n    The unique living population known it is inside a protected area.\n\n    \n  '],Decreasing,"
    Endangered


    B1ab(iii)

    ",2,Kunsia fronto
38,38,clarks lizard,Darevskia,Lacertidae,Terrestrial,Georgia; Turkey; ,"
    This species is threatened by overgrazing of its habitat by domestic livestock (cattle and sheep).

    
  ","['\n    This rare species is included into the Red Data Book of the USSR (1984) - category 3. It has been recorded from a protected area in Turkey, but it is not known if it is found within a protected area in Georgia. Further research is needed into the natural history, range and threats to this species. Habitat maintenance is needed in areas of overgrazing.\n\n    \n  ']",Decreasing,"
    Endangered


    B1ab(i,iii)

    ",2,Darevskia clarkorum
39,39,"mount oku rat, mt oku rat",Lamottemys,Muridae,Terrestrial,Cameroon; ,"
    The restricted range of this species is threatened by continuing habitat loss, through clearance of land for agricultural use (including grazing) and presumably through some logging activities.

    
  ","['\n    There are no known conservation measures for this species. Further research is needed into population abundance, the species range, biology, ecology, threats, and conservation measures. There is a need to monitor the species to record changes in population abundance and distribution. There is need to establish suitably managed protected areas for this species.\n\n    \n  ']",Decreasing,"
    Endangered


    B1ab(iii)

    ",1,Lamottemys okuensis
40,40,nan,Lampadia,Helicidae,Terrestrial,Portugal (Madeira); ,"
    Rodents catch and eat this species, making characteristic holes through the apical whorls of the shell to extract the animal (Seddon 2008). Habitat management in this area of Porto Santo has changed over the years, with increasing impact from tourist developments, such that the grassland may be degrading in quality.

    
  ","['\n    Further research is required to confirm the loss of the population on Cima, as well as resurvey of populations on the main island (Groh, pers. comm., 2010).\xa0 Control of introduced rodents would be beneficial to this species as it would reduce impact on the adult breeding part of the population.\n\n    \n  ']",Decreasing,"
    Endangered


    B1ab(ii,iii)+2ab(ii,iii)

    ",1,Lampadia webbiana
41,41,nan,Lamprocystis,Euconulidae,,Japan (Ogasawara-shoto); ,,,,"
    Endangered


    A2b

    ",1,Lamprocystis hahajimana
42,42,higgins eye pearly mussel,Lampsilis,Unionidae,,United States; ,,,,"
    Endangered


    A1ce+2ce

    ",1,Lampsilis higginsii
43,43,yellow lampmussel,Lampsilis,Unionidae,,"Canada (New Brunswick, Nova Scotia); United States (Connecticut, Delaware, District of Columbia, Georgia, Maine, Massachusetts, New Hampshire, New Jersey, New York, North Carolina, Pennsylvania, South Carolina, Vermont, Virginia, West Virginia); ",,,,"
    Endangered


    A1c

    ",2,Lampsilis cariosa
44,44,arkansas fatmucket,Lampsilis,Unionidae,,United States; ,,,,"
    Endangered


    A1c

    ",1,Lampsilis powellii
45,45,nan,Lanistes,Ampullariidae,,"Tanzania, United Republic of; ",,,,"
    Endangered


    B1+2abcd

    ",1,Lanistes alexandri
46,46,nan,Lanistes,Ampullariidae,Freshwater,Malawi; Mozambique; ,"
    This species is vulnerable to the changing habitats at edge of lake margin and pollution.

    
  ",['\n    No information available.\n\n    \n  '],Unknown,"
    Endangered


    B1ab(iii)

    ",2,Lanistes solidus
47,47,nan,Leiostyla,Lauriidae,Terrestrial,Portugal (Portugal (mainland)); ,"
    The main threat to this species are fires and overgrazing impacting the area around.

    
  ","['\n    This species lies in a protected area where there had been little change for over 30 years. Recent intensive fires mean that the species needs urgent reassessment,  as it may have been impacted by the fires in August 2010, hence it is  uplisted to Endangered until surveys reconfirm the current status.\n\n    \n  ']",Unknown,"
    Endangered


    B1ab(iii)+2ab(iii)

    ",1,Leiostyla concinna
48,48,"nelsons antelope squirrel, san joaquin antelope ground squirrel, san joaquin antelope squirrel",Ammospermophilus,Sciuridae,Terrestrial,United States (California); ,"
    The decline is a result of loss of habitat due to agricultural and urban development as well as oil and gas exploration practices. Primary existing threats include loss of habitat due to agricultural development, urbanization, and petroleum extraction, and the use of rodenticides for ground squirrel control. Overgrazing and associated loss of shrub cover is a concern in some areas. These threats will be alleviated by the implementation of the San Joaquin Endangered Species Recovery Plan.

    
  ","['\n    The species is currently listed as Threatened by the California Fish and Game Commission and it is a federal C2 candidate taxon. ', <br/>, <br/>, 'Significant populations occur on the Carrizo Plain National Monument (encompasses most of the Carrizo Plain and Elkhorn Plain). The national monument designation applies only to public lands managed by the Bureau of Land Management. Existing private lands within the monument boundaries are not affected by the designation. The overall Carrizo Plain, which includes some state owned land, will continue to be jointly managed by the Bureau of Land Management, the California Department of Fish and Game, and The Nature Conservancy. ', <br/>, <br/>, 'Small populations are also found within two preserves in Kern County owned by The Nature Conservancy, and two reserves owned by the California Department of Fish and Game (in Kern County and Tulare County). See California Department of Fish and Game (1990) for brief comments on protected areas inhabited by this species (e.g., Elkhorn Plain Ecological Preserve, Carrizo Plain, and others).', <br/>, <br/>, 'The California Department of Fish and Game is involved in several conservation efforts, including the Metropolitan Bakersfield Habitat Conservation Plan (HCP), the California Department of Corrections Electric Fence HCP, the Coles Levee area 2081 Agreement, and the Arco Western Energy HCP.', <br/>, <br/>, 'Acquisition and protection of lands with extant populations of antelope squirrels in the Panoche and Kettleman Hills and on the San Joaquin Valley floor should be the highest priority for this species (Harris and Stearns 1991). Also need to determine the population density for the range of habitats occupied; additional inventories are needed, mostly on private land, and also to monitor populations, and obtain data on demography, dispersal, and reproduction.', <br/>, <br/>, 'USFWS (1998) stated that the actions required to conserve the San Joaquin antelope squirrel, in approximate order of importance, are: 1. Determine habitat management prescriptions on the southern San Joaquin Valley floor. 2. Inventory potential habitat in the Allensworth, Semitropic Ridge, and Kettleman Hills natural areas, and along the western edge of the Valley between Pleasant Valley, Fresno County, and McKittrick Valley-Lokern Area, Kern County. 3. Protect additional habitat in the Pixley National Wildlife Refuge-Allensworth Natural Area. 4. Develop and implement a population monitoring program at sites representative of their existing geographic range. 5. Protect additional habitat in the Panoche Region of western Fresno and eastern San Benito Counties. 6. Protect additional habitat in western Kern County. 7. Protect additional habitat in the Semitropic Ridge Natural Area. 8. Reevaluate the status of San Joaquin antelope squirrels within three years of recovery plan approval.', <br/>, <br/>, 'Management Requirements: Protect habitat from overgrazing and loss of shrub cover; maintain sparse shrub cover and associated species; avoid unnecessary rodenticide use. Care should be taken not to destroy burrows near man-made structures in previously disturbed sites (Biosystems Analysis 1989).\n\n    \n  ']",Decreasing,"
    Endangered


    B1ab(iii)

    ",1,Ammospermophilus nelsoni
49,49,spotted loach,Lepidocephalichthys,Cobitidae,,Sri Lanka; ,,,,"
    Endangered


    B1+2c, C1

    ",1,Lepidocephalichthys jonklaasi
50,50,nan,Ampelita,Acavidae,,Madagascar; ,,,,"
    Endangered


    B1+2abc

    ",1,Ampelita julii
51,51,nan,Ampelita,Acavidae,,Madagascar; ,,,,"
    Endangered


    B1+2abc

    ",1,Ampelita fulgurata
52,52,nan,Lepidurus,Triopsidae,,United States; ,,,,"
    Endangered


    A2c

    ",1,Lepidurus packardi
53,53,milneedwardss sportive lemur,Lepilemur,Lepilemuridae,Terrestrial,Madagascar; ,"
    The major threat to this species is habitat loss due to fires set to create new pasture for livestock, and it is also hunted for food in some areas.

    
  ",['\n    This species is listed on Appendix I of CITES. It is currently known to occur in Ankarafantsika National Park.\n\n    \n  '],Decreasing,"
    Endangered


    A3cd+4cd

    ",1,Lepilemur edwardsi
54,54,"drybush weasel lemur, whitefooted sportive lemur",Lepilemur,Lepilemuridae,Terrestrial,Madagascar; ,"
    The main threats to this species are habitat loss due to annual burning practices to create new pasture for livestock, and subsequent over-grazing and the felling of trees for charcoal production.

    
  ",['\n    This species is listed on Appendix I of CITES.  It is known to occur in two national parks (Andohahela and Tsimanampetsotsa) and in the Berenty Private Reserve. Consideration needs to be given to the establishment of a new protected area towards the centre of this species�?? range.\n\n    \n  '],Decreasing,"
    Endangered


    B1ab(i,iii,v)

    ",1,Lepilemur leucopus
55,55,"lightnecked sportive lemur, microdon sportive lemur, smalltoothed sportive lemur",Lepilemur,Lepilemuridae,Terrestrial,Madagascar; ,"
    The main threat is slash and burn agriculture causing forest loss in the eastern forests. Hunting pressure is also known to be high, and includes hunting with spears, and by chopping down trees known to have nest holes.

    
  ","['\n    This species is listed on Appendix I of CITES. It occurs in two national parks (Andringitra and Ranomafana) and provisionally in Midongy du Sud National Park as well, although the population there may prove to be ', <em>L. fleuretae</em>, '. Further studies on distribution are needed.\n\n    \n  ']",Decreasing,"
    Endangered


    B1ab(i,iii,v)

    ",1,Lepilemur microdon
56,56,nan,Leptachatina,Amastridae,,United States (Hawaiian Is.); ,,,,"
    Endangered


    B1+2abd

    ",1,Leptachatina lepida
57,57,nan,Leptaxis,Hygromiidae,Terrestrial,Portugal (Azores); ,"
    The rarity of this species was recorded since it was first found (Morelet 1860). It was re-discovered in the 1980s and remains extremely rare. The exiguity of its range and the severe habitat fragmentation within it due to human activity (clearing forest for pasture) may be a severe threat. It has been found living in stands of native vegetation, where it also remains apparently extremely rare, although no quantitative studies are available.

    
  ",['\n    There are no conservation actions in place for this species. It is recommended that the remaining natural habitat surrounding the outside of the crater be protected from further clearance by human activities.\n\n    \n  '],Unknown,"
    Endangered


    B1ab(iii)+2ab(iii)

    ",1,Leptaxis caldeirarum
58,58,"longtoed tree frog, weza forest tree frog",Leptopelis,Arthroleptidae,Terrestrial; Freshwater,"South Africa (Eastern Cape Province, KwaZulu-Natal); ","
    It has a small range, and lives in a habitat which is continually declining in quality due to threats of afforestation, inappropriate fire regimes, cattle in vleis trampling and eutrophication, overgrazing, as well as the spread of alien plants that lower the water table (leading to drying out of breeding sites).

    
  ","['\n    Priority for conservation work is given over to determination of dispersal and distribution together with\xa0categorising\xa0threats.\xa0The relationships between this and other species without toe discs needs study. This species would make a good candidate for monitoring. Areas in which it occurs require stakeholder agreements for sensitive management.\xa0It is found in the uKhahlamba-Drakensberg Park, which is at least well managed for biodiversity conservation.\n\n    \n  ']",Unknown,"
    Endangered


    B2ab(ii,iii,iv)

    ",1,Leptopelis xenodactylus
59,59,nan,Amplirhagada,Camaenidae,,Australia; ,,,,"
    Endangered


    C2a

    ",1,Amplirhagada astuta
60,60,nan,Amplirhagada,Camaenidae,,Australia; ,,,,"
    Endangered


    C2b

    ",1,Amplirhagada questroana
61,61,painted rocksnail,Leptoxis,Pleuroceridae,Freshwater,United States (Alabama); ,"
    The already very restricted range of this species is under threat from increasing construction of water reservoirs in the area (NatureServe 2009). USFWS (2000) states that as well as potential future threats from land use change and increasing human population density, isolated populations in the Mobile River basin are likely to be vulnerable to random events both from anthropogenic activities (i.e. toxic spills) and natural catastrophic events (i.e. droughts or floods).

    
  ","['\n    This species has been given a\xa0NatureServe Global Heritage Status Rank of G1 - Critically Imperiled (NatureServe 2006).', <br/>, <br/>, 'There are currently no species-specific conservation measures in place for this species. However, a\xa0USFWS (2004, 2005) Recovery Plan exists for six Mobile River basin aquatic snails and outlines conservation objectives for six species, including ', <span style=""font-style: italic;"">Leptoxis taeniata</span>, ', in the Mobile River basin. The recovery criteria outlined in the plan include delisting for all six species which will require the confirmation of at least three stable or increasing populations for each species for 10 or more years. Before either reclassification or delisting may be considered, threats to the species will be removed, and plans should be developed and implemented to protect and monitor water and habitat quality in the watersheds where they occur. The Recovery plan also includes conservation actions that are needed for the six species -\xa0(1) Protect habitat integrity and water quality. (2) Develop mitigation strategies that give high priority to avoidance and restoration. (3) Promote increased levels of voluntary stewardship to reduce non-point pollution from private land use. (4) Encourage and support community based watershed stewardship planning and action. (5) Develop and implement public education programs and materials defining ecosystem management and stewardship responsibilities. (6) Conduct basic research on endemic species and apply the results of this research to management. (7) Develop and implement technology for maintaining and propagating endemic species in captivity. (8) Reintroduce imperilled aquatic species into restored habitats, as appropriate. (9) Monitor listed species populations. (10) Coordinate ecosystem management actions and species recovery efforts (USFWS 2000).\xa0In addition, Mirarchi ', <em>et al</em>, '. (2004) suggest that captive breeding and reintroduction should be considered and a survey conducted in order to locate potential reintroduction sites within the Mobile River drainage that can be utilized where necessary.\n\n    \n  ']",Decreasing,"
    Endangered


    B1ab(i,ii,iii)

    ",1,Leptoxis taeniata
62,62,"tehuantepec hare, tehuantepec jackrabbit, tehuantepec jack rabbit, tropical hare",Lepus,Leporidae,Terrestrial,Mexico (Oaxaca); ,"
    The species' habitat is threatened by encroaching agriculture as the local human population expands.  In addition, the species is shot by numerous parties of hunters coming from cities up to 200 km away to shoot deer by spotlighting at night.  The extent of occurrence of Tehuantepec jackrabbits is jeopardized by habitat alteration and degradation by introduction of exotic grasses, human-induced fires, agriculture, cattle-raising activities, and human settlements in savannas.  Predation was the major cause of mortality for radio-marked jackrabbits and accounted for 94% of juvenile deaths and 67% of adult deaths during a 29 month study.  Human-induced fires in the savanna accounted for 20% of adult deaths.  Poaching accounted for 13% of adult deaths, and for 6% of juvenile deaths. There is also low genetic variation.  Habitat reduction has been estimated at 8-29% over the last 24 years (Cuáron and de Grammont pers. comm.).

    
  ","['\n    The Tehuantepec jackrabbit is listed as critically endangered in the Mexican Official Norm NOM-059-ECOL-2001.  Conservation laws are not enforced by local authorities in Oaxaca, Mexico.\n\n    \n  ']",Decreasing,"
    Endangered


    A2b+3c; B1ab(i,ii,iii,v)+2ab(i,ii,iii,v); C1; D

    ",1,Lepus flavigularis
63,63,mount cooper striped lerista,Lerista,Scincidae,,Australia; ,,,,"
    Endangered


    A1c, B1+2c

    ",1,Lerista vittata
