id,scientific_name,nickname,common_name,kingdom,phylum,class,order,family,genus,size,threats,conservation,threats_keywords,conservation_keywords, tCount, cCount
10,Andean mountain cat; mountain cat.,Leopardus jacobita,Andean cat (Leopardus jacobita),Animalia,Chordata,Mammalia,Carnivora,Felidae,Oreailurus (1),4 kg (2),It is not clear whether the rarity of the Andean cat is a natural phenomenon or attributable to human actions. Alternatively it may simply be a misperception resulting from lack of observations (2). Pelts of this species have been seen in local markets occasionally killed by herders who carry guns (2). The high Andean Indians appear to have little knowledge of this species and the only pelts observed to be used in local ceremonies have been those of the pampas cat (5). There are no records of international trade of this species either. It is therefore thought that hunting of the Andean cat is primarily carried out to protect local cattle (1). The common threat of habitat destruction common worldwide does not apply here as there have been no significant changes in land-use of the high Andes over the last 2000 years. If anything the human population has decreased in these regions (2).,International trade of this species is prohibited by its listing on Appendix I of CITES (3) and according to national legislation the Andean cat is fully protected throughout its range (2). There is a huge gap in our knowledge of this species and how to best protect it. However since the publication of the Cat Action Treasury Plan there have been substantial increases in research efforts (1) (7). The Cat Action Treasury has sponsored surveys to determine the status of this species and improve our understanding of this cat in order to inform conservation measures (8). These surveys confirmed the rarity of this species. The Andean cat has been upgraded from Vulnerable to Endangered on the IUCN Red List (1) (7). It has been suggested by the Andean Cat Alliance (AGA) previously the Committee for the Conservation of the Andean Cat (COCGA) that because this cat needs large areas to live successfully and its range extends over the Andes through international borders a multinational cooperative approach is necessary for its long-term conservation (5). AGA has launched a multinational project to collate and analyse data on the on the Andean cat in order to initiate immediate conservation efforts and in 2004 a conservation action plan was drawn up for the species. The fact that there are no captive specimens or breeding programmes for the Andean cat means that the survival of this species depends on the development and success of these conservation measures (5). ,hunting; ,cites;protected; ,1,2
11,Mantidactylus microtympanum,Boehmantis microtympanum,Angelí¢ŒóŒ»s Madagascar frog (Boehmantis microtympanum),Animalia,Chordata,Amphibia,Anura,Mantellidae,Boehmantis (1),Male length: 5.3 cm (2)Female length: 7.6 cm (2),Owing to its restricted range Angel\xe2\x80\x99s Madagascar frog is highly vulnerable to the ongoing large-scale degradation and destruction of forest that is occurring in south-east Madagascar. Although this species remains relatively abundant at some localities a multitude of threats including expanding human settlements agriculture logging livestock grazing charcoal manufacture and the spread of invasive eucalyptus are causing its population to decline. The pressures have already proven severe enough to cause local extinctions around Fort Dauphin near the southern limit of the Angel\xe2\x80\x99s Madagascar frog\xe2\x80\x99s range (1).,While there are no known conservation measures specifically targeting Angel\xe2\x80\x99s Madagascar frog it is found in two protected areas the Andohahela and Midongy-du-Sud National Parks (1). Nevertheless increased protection of this species\xe2\x80\x99 habitat along with educational programs to inform local people of how best to manage the forests sustainably are vital measures that must be implemented if Angel\xe2\x80\x99s Madagascar frog is to be conserved (6). ,invasive; ,protected; ,1,1
12,Blind swamp eel,Ophisternon infernale,Anguila ciega (Ophisternon infernale),Animalia,Chordata,Actinopterygii,Synbranchiformes,Synbranchidae,Ophisternon (1),Length: up to at least 32.5 cm (2),The main threats to this species are various forms of water pollution caused by humans. In rural areas sewage is rarely treated before being discarded and industrial and domestic waste is sometimes disposed of in caves. Another threat comes from over-harvesting of freshwater which may lead to <strong>saline waters</strong> creeping into the normally freshwater zone. The human population of the Yucatan peninsula is growing so a greater and greater strain on water resources can be expected in the future. Another potential threat is the modification and/or the intensive use of this fish\xe2\x80\x99s habitat by humans for recreational or tourism purposes (2).,There are currently no conservation measures targeting the Anguila ciega. ,pollution; , ,1,0
13,armoured chameleon; stump tailed chameleon,Brookesia perarmata,Antsingy leaf chameleon (Brookesia perarmata),Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,Brookesia (1),Length: up to 11cm (2),Chameleons are favoured as pets across the world due to their fascinating appearance and behaviour. Collection and trade has therefore taken its toll on many chameleon species but international trade in this species is now prohibited (9). However habitat degradation remains a threat even though the species is found within a national park. As this species depends on the presence of leaf litter for food shelter and laying its eggs and also on low shrubs and seedlings for roosting at night its survival is dependent on maintaining the existing vegetation structure within the Tsingy forests (5) (10).,The Antsingy leaf chameleon is listed on Appendix I of the Convention on International Trade of Endangered Species (CITES) and as such international trade of this species is illegal (3). Its survival is not immediately threatened in the wild although it is still justifiably a conservation priority because of its limited range and the continued degradation of its favoured habitats within the national park (1) (2) (10). ,pet; ,cites; ,1,1
14,Apolinarí¢ŒóŒ»s marsh-wren,Cistothorus apolinari,Apolinarí¢ŒóŒ»s wren (Cistothorus apolinari),Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Cistothorus (1),Length: 12 cm (2),Apolinar\xe2\x80\x99s wren has a small population and this combined with its limited geographical range results in an inherent threat of extinction. Numbers of Apolinar\xe2\x80\x99s wren have indeed declined significantly in the last 50 to 70 years primarily due to a 95 percent loss in habitat (3). A significant cause of this habitat destruction is the burning of wetlands for agriculture mainly onion cultivation and cattle-farming. With agriculture also frequently comes the use of insecticides and other chemicals resulting in a reduction in this bird\xe2\x80\x99s insect prey and posing a toxic threat to the bird. In areas around the capital Bogot\xc3\xa1 remaining wetland habitats are at risk from human settlement and highway development and reed-harvesting and tourism also pose minor threats (1).,Apolinar\xe2\x80\x99s wren occurs in El Cocuy National Park Boyac\xc3\xa1 and in Sumap\xc3\xa1z National Park Cundinamarca which may offer protection against the threat of habitat loss (2). ,loss; ,captive breeding; ,1,1
15,Hemitragus jayakari,Arabitragus jayakari,Arabian tahr (Arabitragus jayakari),Animalia,Chordata,Mammalia,Cetartiodactyla,Bovidae,Arabitragus (1),c. 23 kg (2),The Arabian tahr is currently extremely endangered as a result of intense grazing competition from livestock illegal hunting and habitat degradation through human development (5). Unfortunately the species\xe2\x80\x99 dependence upon visiting waterholes leaves it vulnerable to ambush by poachers (3). Human migrations to urban areas have increased in Oman in recent years resulting in domestic goats being left to become feral which now forage in areas that were once the realm of the tahr. Additionally several roads and buildings have been constructed near and within the tahr\xe2\x80\x99s range which are new potential sources of disturbance pollution and habitat fragmentation. In particular plans for mineral extraction in southern parts of the range could result in significant habitat loss (6). Tahr populations in UAE appear to be especially localised and possibly isolated. The concern is that isolation of sub-populations will lead to the diminished genetic variation associated with inbreeding which in turn results in increased susceptibility to disease and decreased fertility spelling disaster for the Arabian tahr in UAE (3).,In 1973 efforts were initiated to protect the Arabian tahr and in 1975 active protection was granted over a wide range of the eastern Hajar Mountains of Oman with local men recruited as rangers under the Office of the Advisor for Conservation of the Environment (6). Unfortunately this area still awaits to be awarded official status by a Royal Decree with an approved funded and implemented management plan (6) (7). However in 2009 Wadi Wurayah Fujairah home to the Arbaian tahr and other rare and endangered species was officially declared as the United Arab Emirates\xe2\x80\x99 first protected mountain area (8). ,loss;fragmentation;hunting;disease;pet;pollution; ,captive breeding;protected; ,6,2
16,Lagartija Aranesa,Iberolacerta aranica,Aran rock lizard (Iberolacerta aranica),Animalia,Chordata,Reptilia,Squamata,Lacertidae,Iberolacerta (1),Snout-vent length: up to 6 cm (2),The rocky alpine habitat of the Aran rock lizard is currently threatened by overgrazing by cattle and may face further pressure in the future from the development of ski resorts and the associated building of roads and tracks (1). The IUCN who assessed the conservation status of this lizard also state the possible development of hydroelectric projects and mining as a future threat to this species (1). The low reproductive potential of the Aran rock lizard and its restricted distribution only act to enhance the devastating effects that such threats may have on the population (3).,The Aran rock lizard is listed on Appendix III of the Bern Convention a convention which aims to conserve wild flora and fauna and their natural habitats and to promote European co-operation in that field (4). Wild animal species on Appendix III are protected but can be exploited if regulated in accordance with the convention (4). It is yet to be seen whether this level of protection is sufficient to ensure the survival of this Endangered reptile. , ,protected; ,0,1
17,Obregnita,Obregonia denegrii,Artichoke cactus (Obregonia denegrii),Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Obregonia (1),Head diameter: 2.5 - 20 cm (2),Artichoke cacti are in high demand for commercial trade and have previously been collected in large numbers (2). Local people use this species to treat rheumatism and over-collection for this reason is also a threat (1). Habitat destruction through urban development road construction and livestock grazing pose further threats to survival; accelerated erosion has been observed at both known sites of this species (2). The total population is thought to have decreased by as much as 50% over the past 50 years; although around 5000 individuals still remain (1).,International trade in wild-taken plants and seeds of the artichoke cactus is banned by its listing on Appendix I of the Convention on International Trade in Endangered Species (CITES) (3). The species is also protected under Mexican law (4) although illegal collection does still occur (1). It has been suggested that the Valley of Jaumave is a prime candidate for a nature reserve (2) which if created would preserve the future of this appealing cactus amongst various others. , ,cites;protected; ,0,2
18,Japanese crested Ibis; Toki,Nipponia nippon,Asian crested ibis (Nipponia nippon),Animalia,Chordata,Aves,Ciconiiformes,Threskiornithidae,Nipponia (1),Length: 55 - 78.5 cm (2),Although abundant throughout Eastern Asia up until a century ago deforestation and habitat destruction caused the Asian crested ibis population to crash during the 20th century. When the last wild birds in Japan were taken into captivity in 1981 the species was believed to be extinct in the wild but later that year a tiny population of seven birds was discovered in a remote mountainous area of Shaanxi Province in China (4) (5) (9). Thanks to the implementation of a conservation programme and the enforcement of laws protecting habitat the wild population had risen to more than 600 wild individuals by 2009 (4) (5). However although its population continues to increase there are still fears for the Asian crested ibis with various factors still threatening to undermine this species\xe2\x80\x99 recovery. Indeed the ongoing conversion of rice fields to dry wheat production is rapidly reducing the availability of feeding areas. Additional threats include the use of agrochemicals at feeding sites occasional hunting and low genetic diversity (4) (9).,In addition to its legal protection in China numerous conservation measures have been introduced since the Asian crested ibis\xe2\x80\x99 rediscovery including the protection of nesting sites and the periodic prohibition of logging hunting with firearms and usage of agrochemicals (4) (9). As of 2009 there are around 500 birds occurring within several captive breeding programmes (5). Following the successes of these programmes captive bred birds are now being used to reintroduce the Asian crested ibis to parts of its original range in China and Japan (4) (5) (10). ,hunting; ,captive breeding; ,1,1
19,Indian elephant,Elephas maximus,Asian elephant (Elephas maximus),Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas (1),Head-body length: 5.5 - 6.4 m (2)Shoulder height: 2.5 - 3 m (2)Male weight: 5.4 tonnes (2)Female weight: 2.7 tonnes (2),Numbers of Asian elephants were decimated by habitat loss and hunting throughout their historical range. Vast tracts of land have been logged or simply cleared to accommodate the growing human population in the region (2). Such disturbance from infrastructure development can also cause increased stress and confusion amongst elephants (8). Elephant populations have become increasingly isolated in the fragmented habitat that remains often coming into conflict with local farmers (7). Crops are damaged and lives lost; up to 300 people a year are killed by elephants in India (4) leading to retaliation on local elephants (9). Poaching for ivory is also a threat and because only males have tusks populations can become extremely skewed towards females thus affecting breeding rates (2).,The Asian elephant is protected from international trade by its listing on Appendix I of the Convention on International Trade in Endangered Species (CITES) although illegal poaching remains a problem (4). Many elephants occur within protected reserves but these are often too small to accommodate them leading to human-elephant conflict (4). Many elephant populations are also found along international borders where management may be weak and a lack of trans-boundary cooperation also hinders elephant protection and management (8). The creation of wildlife corridors to extend reserve lands together with the cessation of poaching are just some of the conservation steps needed to secure the future of the Asian elephant (9). The World Wildlife Fund (WWF) launched the Asian Rhino and Elephant Action Strategy (AREAS) in 1998 to address these issues and this multifaceted conservation programme is also working with local people to reduce conflict with these magnificent animals (8). ,loss;hunting;poaching; ,cites;protected;wwf; ,3,3
20,Indian tapir; Malay tapir; Malayan tapir,Tapirus indicus,Asian tapir (Tapirus indicus),Animalia,Chordata,Mammalia,Perissodactyla,Tapiridae,Tapirus (1),250 í¢ŒóŒñ 540 kg (2),Widely abundant in Southern Myanmar Thailand Malaysia and Indonesia in the early 1930s Asian tapir populations have since rapidly declined and now survive only as isolated populations in remote or protected areas. Habitat destruction poses the predominant threat as a result of land being cleared for human settlement and agriculture and rivers being dammed and land flooded for hydroelectric development (11). In Sumatra uncontrolled illegal logging still occurs. The tapir population is strongest in Malaysia where deforestation has greatly declined (1).,Protective game laws exist in Thailand Myanmar Malaysia and Indonesia with varying success (11). In Malaysia the Asian tapir has been given total protection since 1955 under the Wild Animals and Birds Ordinance and law enforcement has generally been effective. The use of steel wire snares has been banned here with stiff penalties if caught. However ongoing monitoring of the illegal tapir trade across the range of this species is crucial (2). Asian tapirs can be found in a number of protected areas including the Huai Kha Khaeng Wildlife Sanctuary and the Khao Sok National Park in Thailand 12 protected areas in the Western Forest Complex along the Thai-Myanmar border (1) and the Way Kambas National Park in Sumatra which contains around 200 individuals (11). However much of the suitable habitat that remains in Sumatra does not lie within protected areas and a large proportion of the tapir population occurs outside of reserves. Conservation efforts should not therefore be restricted to national parks but should endeavour to involve the cooperation of local people across the species\xe2\x80\x99 range (11). ,hunting; ,protected; ,1,1
21,Asian brown tortoise; Asian giant tortoise; black giant tortoise; Burmese brown tortoise; Burmese mountain tortoise; six-legged tortoise,Manouria emys,Asian tortoise (Manouria emys),Animalia,Chordata,Reptilia,Testudines,Testudinidae,Manouria (1),M. e. emys carapace length: up to 50 cm (2)M. e. emys weight: up to 20 kg (2)M. e. phayrei carapace length: up to 60 cm (2)M. e. phayrei weight: up to 37 kg (2),Like other Asian turtles and tortoises this species is severely threatened by over-harvesting and exploitation for the food and pet trade compounded by habitat destruction. Most records indicate that Asian tortoise populations are sparse and extremely fragmented (6). Sadly being such a large species the Asian tortoise is a relatively easy target for hunters and collectors (4) and its fairly high market value makes it a much sought after species (2).,International trade is controlled by the Asian tortoise\xe2\x80\x99s listing on CITES Appendix II (6). However despite the species being uplisted from \xe2\x80\x98Vulnerable\xe2\x80\x99 to \xe2\x80\x98Endangered\xe2\x80\x99 on the IUCN Red List in 2000 the legal export quota from Peninsula Malaysia was raised from 50 wild caught specimens in 1999 to 200 in 2000 and to 500 in 2002 (3) (6). In 2006 this quota was reduced to 400 (3) but this still seems too high for a species facing possible extinction. Although imports are now totally banned in the European Community this has only served to shift the trade towards Japan and the U.S. (6). The Asian brown tortoise (<i>M. e. emys</i>) is legally protected in Sabah Malaysia under the Wildlife Conservation Enactment 1997 and a license is required from the director of the Wildlife Department to hunt or collect wild specimens (6). ,pet; ,cites;protected; ,1,2
22,Asian brown tortoise; Asian giant tortoise; black giant tortoise; Burmese brown tortoise; Burmese mountain tortoise; six-legged tortoise,Manouria emys,Asian tortoise (Manouria emys),Animalia,Chordata,Reptilia,Testudines,Testudinidae,Manouria (1),M. e. emys carapace length: up to 50 cm (2)M. e. emys weight: up to 20 kg (2)M. e. phayrei carapace length: up to 60 cm (2)M. e. phayrei weight: up to 37 kg (2),Like other Asian turtles and tortoises this species is severely threatened by over-harvesting and exploitation for the food and pet trade compounded by habitat destruction. Most records indicate that Asian tortoise populations are sparse and extremely fragmented (6). Sadly being such a large species the Asian tortoise is a relatively easy target for hunters and collectors (4) and its fairly high market value makes it a much sought after species (2).,International trade is controlled by the Asian tortoise\xe2\x80\x99s listing on CITES Appendix II (6). However despite the species being uplisted from \xe2\x80\x98Vulnerable\xe2\x80\x99 to \xe2\x80\x98Endangered\xe2\x80\x99 on the IUCN Red List in 2000 the legal export quota from Peninsula Malaysia was raised from 50 wild caught specimens in 1999 to 200 in 2000 and to 500 in 2002 (3) (6). In 2006 this quota was reduced to 400 (3) but this still seems too high for a species facing possible extinction. Although imports are now totally banned in the European Community this has only served to shift the trade towards Japan and the U.S. (6). The Asian brown tortoise (<i>M. e. emys</i>) is legally protected in Sabah Malaysia under the Wildlife Conservation Enactment 1997 and a license is required from the director of the Wildlife Department to hunt or collect wild specimens (6). ,pet; ,cites;protected; ,1,2
23,yellow pond turtle,Mauremys mutica,Asian yellow pond turtle (Mauremys mutica),Animalia,Chordata,Reptilia,Testudines,Geoemydidae,Mauremys (1),Carapace length: up to 20 cm (2),The majority of Asia\xe2\x80\x99s freshwater turtles are threatened with extinction (7) (8) and the Asian yellow pond turtle is no exception (1). This \xe2\x80\x98Asian Turtle Crisis\xe2\x80\x99 is mainly attributable to largely uncontrolled trade for food traditional medicine and pets (7) (9) (10) driven primarily by increased demand in China (7) (11).,The Asian turtle trade was largely unregulated prior to 2002. However since then several species of Asian turtle have been listed under the Convention on International Trade in Endangered Species (CITES) (9). The Asian yellow pond turtle is listed on CITES Appendix II which requires export permits for international trade (3). Unfortunately enforcement appears limited and globally threatened species of turtle remain in trade in China (9). ,pet;pollution; ,cites;captive breeding; ,2,2
24,Asian wild ass; khulan; khur; kulan; onager,Equus hemionus,Asiatic wild ass (Equus hemionus),Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus (1),200 - 260 kg (2),The greatest threat facing the Asiatic wild ass is poaching for meat and hides and in some areas for use in traditional medicine (5) (7). The extreme isolation of many of the subpopulations is in itself a threat as genetic problems can result from inbreeding (7). Overgrazing by livestock reduces food availability and herders also reduce the availability of water at springs. The cutting down of nutritious shrubs and bushes exacerbates the problem. Furthermore a series of drought years could have devastating effects on this beleaguered species (6). Habitat fragmentation is a particular concern in Mongolia as result of the increasingly dense network of roads railway lines and fences required to support mining activities (1) (5).,The Asiatic wild ass does occur in a number of protected sites where targeted conservation action has been taken. Domestic animals have been removed from some protected areas and artificial watering holes have been made. Hay is provided for the species and there are hefty fines for poaching. Moreover the species is legally protected in many of the countries in which it occurs (6). The priority for future conservation measures is: to ensure the protection of this species in particularly vulnerable parts of its range; to encourage the involvement of local people in the conservation of the Asiatic wild ass; and to conduct further research into the behaviour ecology and taxonomy of the species (1). Fortunately several Asiatic wild ass research programmes considering these issues are already underway (5) (6). ,fragmentation;poaching; ,protected; ,2,1
