Scientific Name, Nickname, Common Name, Kingdom, Phylum, Class, Order, Family, Genus, Size, Threats, Conservation
Adriatic trout; softmouth trout,Salmo obtusirostris,Adriatic salmon (Salmo obtusirostris),Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo (1),80 - 425 g (4),The Adriatic salmon faces a number of threats including overfishing for sport and for food as well as habitat destruction and competition with introduced species (1)., ,There are currently no known conservation measures in place for the Adriatic salmon (1) (5). It has been recommended that a number of key rivers in which this species occurs should be given full protection and guarded from any habitat alteration (5). ,fishing;overfishing;invasive;pet; ,,4,0
Plantae,Aechmea tayoensis,Aechmea (Aechmea tayoensis),Plantae,Tracheophyta,Liliopsida,Bromeliales,Bromeliaceae,Aechmea (1),,[], ,[] , ,,0,0
Plantae,Aegiphila monticola,Aegiphila (Aegiphila monticola),Plantae,Tracheophyta,Magnoliopsida,Lamiales,Verbenaceae,Aegiphila (1),,[], ,[] , ,,0,0
Bejeque gomero,Aeonium gomerense,Aeonium (Aeonium gomerense),Plantae,Tracheophyta,Magnoliopsida,Rosales,Crassulaceae,Aeonium (1),Aeonium (1),[], ,[] , ,,0,0
Plantae,Aequatorium asterotrichum,Aequatorium (Aequatorium asterotrichum),Plantae,Tracheophyta,Magnoliopsida,Asterales,Compositae,Aequatorium (1),,[], ,[] , ,,0,0
black-footed penguin; jackass penguin,Spheniscus demersus,African penguin (Spheniscus demersus),Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus (1),Length: 60 - 70 cm (2),The population of the African penguin has declined and it is estimated that its current size is a mere 10 percent of what it was at the turn of the 20th Century. Originally the fall in numbers was the result of the over-collection of eggs for food and disturbance caused by the collection of <strong>guano</strong> for fertiliser. Today however depleted fish stocks due to over-fishing and the risk of oil pollution are the most pertinent threats to the survival of the African penguin (5); a recent oil spill affected around 40 percent of the population.\xa0 Predation by Cape fur seals (<em>Arctocephalus pusillus</em>) and competition with them for food and breeding sites as well as shark predation has also had severe effects on African penguin numbers (2). The ongoing and rapid decline of the African penguin led to the species being uplisted from Vulnerable to Endangered on the IUCN Red List in 2010 (2)., ,The African penguin is protected by its listing on Appendix II of the Convention on International Trade in Endangered Species (CITES) (3) and on Appendix II of the Convention on Migratory Species (CMS) (4). All of the breeding areas of the African penguin in South Africa are protected as National Parks or Nature Reserves and the collection of <strong>guano</strong> or eggs is no longer permitted. The recovery of rescued oiled African penguins has also been shown to be successful. Populations need further monitoring and the possibility of conserving fish stocks is under investigation amongst other measures if the future of Africa\xe2\x80\x99s only penguin is to be secured (2). ,fishing;pet;pollution; ,cites;protected;,3,2
Animalia,Hyperolius kihangensis,African reed frog (Hyperolius kihangensis),Animalia,Chordata,Amphibia,Anura,Hyperoliidae,Hyperolius (1),,[], ,[] , ,,0,0
Afrormosia; Assamela; Kokrodua,Pericopsis elata,African teak (Pericopsis elata),Plantae,Tracheophyta,Magnoliopsida,Fabales,Leguminosae,Pericopsis (1),Maximum height: 50 m (2)Diameter: up to 2m (2),The trade in the timber from this tree has soared since 1948 and the degree of exploitation has long been unsustainable across its range. The habitat has been lost and now regeneration is insufficient to replace lost populations (1). Illegal logging continues to decimate the remaining populations (2)., ,Urgent regulation of logging is necessary including the employment of Forestry Stewardship Council regulations on harvesting. In Ghana some enrichment planting is being practised where suitable areas with low numbers of African teak are planted with African teak seedlings but conservation of current populations is a priority (2). , ,,0,0
Animalia,Nectophrynoides vestergaardi,African viviparous toad (Nectophrynoides vestergaardi),Animalia,Chordata,Amphibia,Anura,Bufonidae,Nectophrynoides (1),,[], ,[] , ,,0,0
Cape hunting dog; painted hunting dog,Lycaon pictus,African wild dog (Lycaon pictus),Animalia,Chordata,Mammalia,Carnivora,Canidae,Lycaon (1),18 - 34 kg (2),African wild dogs require large home ranges to support viable populations and recent habitat fragmentation has caused a population decline (4). African wild dogs traditionally have a reputation for attacking livestock and despite this rarely occurring in practice they are therefore often persecuted wherever they come into contact with humans (2) (4). In addition road accidents and incidental snaring have recently become an important cause of mortality (2). These wild dogs are susceptible to disease; particularly those carried by domestic dogs such as canine distemper and rabies. A final threat that keeps African wild dog populations low is competition and predation with the other large carnivores of the African savanna such as lions and spotted hyaenas (6)., ,The current population of African wild dogs is estimated to be less than 5500 individuals (2). The majority of dogs are found in medium sized populations which are extremely vulnerable to sudden environmental change. Due to their expansive home ranges large areas of contiguous habitat are the key to the survival of this species and it is estimated that protected areas need to be greater than 10000 square kilometres in order to prevent detrimental contact with local human settlements (2) (4). Consequently even most of the larger reserves cannot fully contain African wild dog packs leading to clashes with humans (2). Preventing persecution through education is also a priority of the conservation action plan (2) (4) in an effort to preserve this most intriguing and unique <strong>canid</strong>. ,fragmentation;disease;pet; ,protected;,3,1
