Scientific Name, Nickname, Common Name, Kingdom, Phylum, Class, Order, Family, Genus, Size, Threats, Conservation, Threat Keywords, Conservation Keywords, tCount, cCount
Adriatic trout; softmouth trout,Salmo obtusirostris,Adriatic salmon (Salmo obtusirostris),Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo (1),80 - 425 g (4),The Adriatic salmon faces a number of threats including overfishing for sport and for food as well as habitat destruction and competition with introduced species (1).,There are currently no known conservation measures in place for the Adriatic salmon (1) (5). It has been recommended that a number of key rivers in which this species occurs should be given full protection and guarded from any habitat alteration (5). ,fishing;overfishing;invasive;pet; , ,4,0
Plantae,Aechmea tayoensis,Aechmea (Aechmea tayoensis),Plantae,Tracheophyta,Liliopsida,Bromeliales,Bromeliaceae,Aechmea (1),,[],[] , , ,0,0
Plantae,Aegiphila monticola,Aegiphila (Aegiphila monticola),Plantae,Tracheophyta,Magnoliopsida,Lamiales,Verbenaceae,Aegiphila (1),,[],[] , , ,0,0
Bejeque gomero,Aeonium gomerense,Aeonium (Aeonium gomerense),Plantae,Tracheophyta,Magnoliopsida,Rosales,Crassulaceae,Aeonium (1),Aeonium (1),[],[] , , ,0,0
Plantae,Aequatorium asterotrichum,Aequatorium (Aequatorium asterotrichum),Plantae,Tracheophyta,Magnoliopsida,Asterales,Compositae,Aequatorium (1),,[],[] , , ,0,0
black-footed penguin; jackass penguin,Spheniscus demersus,African penguin (Spheniscus demersus),Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus (1),Length: 60 - 70 cm (2),The population of the African penguin has declined and it is estimated that its current size is a mere 10 percent of what it was at the turn of the 20th Century. Originally the fall in numbers was the result of the over-collection of eggs for food and disturbance caused by the collection of <strong>guano</strong> for fertiliser. Today however depleted fish stocks due to over-fishing and the risk of oil pollution are the most pertinent threats to the survival of the African penguin (5); a recent oil spill affected around 40 percent of the population.\xa0 Predation by Cape fur seals (<em>Arctocephalus pusillus</em>) and competition with them for food and breeding sites as well as shark predation has also had severe effects on African penguin numbers (2). The ongoing and rapid decline of the African penguin led to the species being uplisted from Vulnerable to Endangered on the IUCN Red List in 2010 (2).,The African penguin is protected by its listing on Appendix II of the Convention on International Trade in Endangered Species (CITES) (3) and on Appendix II of the Convention on Migratory Species (CMS) (4). All of the breeding areas of the African penguin in South Africa are protected as National Parks or Nature Reserves and the collection of <strong>guano</strong> or eggs is no longer permitted. The recovery of rescued oiled African penguins has also been shown to be successful. Populations need further monitoring and the possibility of conserving fish stocks is under investigation amongst other measures if the future of Africa\xe2\x80\x99s only penguin is to be secured (2). ,fishing;pet;pollution; ,cites;protected; ,3,2
Animalia,Hyperolius kihangensis,African reed frog (Hyperolius kihangensis),Animalia,Chordata,Amphibia,Anura,Hyperoliidae,Hyperolius (1),,[],[] , , ,0,0
Afrormosia; Assamela; Kokrodua,Pericopsis elata,African teak (Pericopsis elata),Plantae,Tracheophyta,Magnoliopsida,Fabales,Leguminosae,Pericopsis (1),Maximum height: 50 m (2)Diameter: up to 2m (2),The trade in the timber from this tree has soared since 1948 and the degree of exploitation has long been unsustainable across its range. The habitat has been lost and now regeneration is insufficient to replace lost populations (1). Illegal logging continues to decimate the remaining populations (2).,Urgent regulation of logging is necessary including the employment of Forestry Stewardship Council regulations on harvesting. In Ghana some enrichment planting is being practised where suitable areas with low numbers of African teak are planted with African teak seedlings but conservation of current populations is a priority (2). , , ,0,0
Animalia,Nectophrynoides vestergaardi,African viviparous toad (Nectophrynoides vestergaardi),Animalia,Chordata,Amphibia,Anura,Bufonidae,Nectophrynoides (1),,[],[] , , ,0,0
Cape hunting dog; painted hunting dog,Lycaon pictus,African wild dog (Lycaon pictus),Animalia,Chordata,Mammalia,Carnivora,Canidae,Lycaon (1),18 - 34 kg (2),African wild dogs require large home ranges to support viable populations and recent habitat fragmentation has caused a population decline (4). African wild dogs traditionally have a reputation for attacking livestock and despite this rarely occurring in practice they are therefore often persecuted wherever they come into contact with humans (2) (4). In addition road accidents and incidental snaring have recently become an important cause of mortality (2). These wild dogs are susceptible to disease; particularly those carried by domestic dogs such as canine distemper and rabies. A final threat that keeps African wild dog populations low is competition and predation with the other large carnivores of the African savanna such as lions and spotted hyaenas (6).,The current population of African wild dogs is estimated to be less than 5500 individuals (2). The majority of dogs are found in medium sized populations which are extremely vulnerable to sudden environmental change. Due to their expansive home ranges large areas of contiguous habitat are the key to the survival of this species and it is estimated that protected areas need to be greater than 10000 square kilometres in order to prevent detrimental contact with local human settlements (2) (4). Consequently even most of the larger reserves cannot fully contain African wild dog packs leading to clashes with humans (2). Preventing persecution through education is also a priority of the conservation action plan (2) (4) in an effort to preserve this most intriguing and unique <strong>canid</strong>. ,fragmentation;disease;pet; ,protected; ,3,1
Kaori de montagne; Kaori nain,Agathis ovata,Agathis (Agathis ovata),Plantae,Tracheophyta,Coniferopsida,Coniferales,Araucariaceae,Agathis (1),Agathis (1),[],[] , , ,0,0
Plantae,Gossweilerodendron balsamiferum,Agba (Gossweilerodendron balsamiferum),Plantae,Tracheophyta,Magnoliopsida,Fabales,Leguminosae,Gossweilerodendron (1),,[],[] , , ,0,0
Dark-handed gibbon,Hylobates agilis,Agile gibbon (Hylobates agilis),Animalia,Chordata,Mammalia,Primates,Hylobatidae,Hylobates (1),Hylobates (1),[],[] , , ,0,0
Plantae,Nothocestrum latifolium,Aiea (Nothocestrum latifolium),Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Nothocestrum (1),,[],[] , , ,0,0
Plantae,Aiouea angulata,Aiouea (Aiouea angulata),Plantae,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Aiouea (1),,[],[] , , ,0,0
Plantae,Aiouea obscura,Aiouea (Aiouea obscura),Plantae,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Aiouea (1),,[],[] , , ,0,0
Plantae,Aiphanes verrucosa,Aiphanes palm (Aiphanes verrucosa),Plantae,Tracheophyta,Liliopsida,Arecales,Palmae,Aiphanes (1),,[],[] , , ,0,0
Plantae,Aiphanes grandis,Aiphanes palm (Aiphanes grandis),Plantae,Tracheophyta,Liliopsida,Arecales,Palmae,Aiphanes (1),,[],[] , , ,0,0
Animalia,Loxops coccineus,Akepa (Loxops coccineus),Animalia,Chordata,Aves,Passeriformes,Fringillidae,Loxops (1),Length: 10Â cm (2),With its dependence on large mature trees the extensive forest clearance that has occurred on Hawaii has had a catastrophic effect on the akepa. Not only have significant numbers of mature trees been lost to logging but the remaining exposed trees have become more vulnerable to windfall. Despite reforestation efforts the planted trees take decades to develop natural cavities and cannot possibly provide the akepa with nesting habitat fast enough to offset its rapid population decline (2) (3).,Listed as Endangered by the U.S. Fish and Wildlife Service in 1970 the akepa was one of the species targeted in the 1982 Hawaii Forest Bird Recovery Plan leading to the improved protection and management of its habitat (3). A number of protected areas currently support akepa populations in particular Hakalau Forest National Wildlife Refuge which contains large numbers. Within these areas reforestation efforts are helping to restore this species\xe2\x80\x99 habitat in the long-term while artificial nesting boxes are providing a promising short-term benefit to the akepa\xe2\x80\x99s survival (2) (3). ,disease; ,captive breeding;protected; ,1,2
Hemignathus wilsoni,Hemignathus munroi,Akiapola'au (Hemignathus munroi),Animalia,Chordata,Aves,Passeriformes,Drepanididae,Hemignathus (1),Length: 14 cm (2),As with many species on Hawaii the \xe2\x80\x98Akiapola\xe2\x80\x99au is threatened by deforestation and habitat degradation due to livestock grazing and is also preyed upon by introduced rats and feral cats. The introduction of mosquitoes to Hawaii has resulted in the spread of avian diseases which confine many bird species including the \xe2\x80\x98Akiapola\xe2\x80\x99au to higher elevations. This species has a low reproductive rate and is slow to recover from population reductions (2).,Relatively large \xe2\x80\x98Akiapola\xe2\x80\x99au populations are found within the boundaries of Ka\xe2\x80\x99u Forest Reserve and Hakalau Forest National Wildlife Refuge. Outside these areas some habitat is being restored (2) and young koa forests on the volcano of Mauna Loa now support high densities of Akiapolaau (6). It is hoped that the \xe2\x80\x98Akiapola\xe2\x80\x99au might be <strong>re-introduced</strong> into other newly restored habitat. Plans to restore corridors of habitat between areas of forest occupied by the \xe2\x80\x98Akiapola\xe2\x80\x99au may reduce the damaging effects of habitat fragmentation including <strong>inbreeding depression</strong> (2). ,disease; , ,1,0
Plantae,Euphorbia haeleeleana,Akoko (Euphorbia haeleeleana),Plantae,Tracheophyta,Magnoliopsida,Euphorbiales,Euphorbiaceae,Euphorbia (1),,[],[] , , ,0,0
Animalia,Palaemonias alabamae,Alabama cave shrimp (Palaemonias alabamae),Animalia,Arthropoda,Crustacea,Decapoda,Atyidae,Palaemonias (1),,[],[] , , ,0,0
Animalia,Pseudemys alabamensis,Alabama red-bellied turtle (Pseudemys alabamensis),Animalia,Chordata,Reptilia,Testudines,Emydidae,Pseudemys (1),,[],[] , , ,0,0
Animalia,Necturus alabamensis,Alabama waterdog (Necturus alabamensis),Animalia,Chordata,Amphibia,Caudata,Proteidae,Necturus (1),,[],[] , , ,0,0
Long-tailed tyrannulet,Phylloscartes ceciliae,Alagoas tyrannulet (Phylloscartes ceciliae),Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Phylloscartes (1),Phylloscartes (1),[],[] , , ,0,0
Albanian frog; Albanian pool frog; Balkan frog; Virpazar frog,Pelophylax shqipericus,Albanian water frog (Pelophylax shqipericus),Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax (1),Male length: c. 71 mm (2)Female length: c. 74 mm (2),The main threats to the Albanian water frog are the drainage of wetlands and agrochemical and industrial pollution of aquatic habitats. Over-collection of this species for commercial purposes is a significant threat in the northern parts of its range such as along the shores of Lake Skadar (1) (3) (4).,The Albanian water frog is listed on Appendix III of the Bern Convention which means that it should be afforded protection (12). ,pet;pollution; ,protected; ,2,1
Animalia,Lates macrophthalmus,Albert lates (Lates macrophthalmus),Animalia,Chordata,Actinopterygii,Perciformes,Latidae,Lates (1),,[],[] , , ,0,0
Plantae,Albizia plurijuga,Albizia (Albizia plurijuga),Plantae,Tracheophyta,Magnoliopsida,Fabales,Leguminosae,Albizia (1),,[],[] , , ,0,0
Plantae,Fitzroya cupressoides,Alerce (Fitzroya cupressoides),Plantae,Tracheophyta,Coniferopsida,Coniferales,Cupressaceae,Fitzroya (1),Height: up to 60 m (2)Diameter of trunk: up to 5 m (4),The wood of the alerce is highly prized as it is durable but lightweight and it has been used to make anything from furniture to ship masts (5). The resilience of the wood is evident from roofing tiles that are still in good condition despite being between 130 - 150 years old (2). Lumbering in Chile began towards the end of the 16th Century and continued right up to 1976 when the species was declared a National Monument and the cutting of trees was therefore prohibited (7). The massive over-exploitation of the alerce caused population numbers to be decimated and by the early 1900s a third of the <em>Fitzroya</em> forests had been lost (1). The naturally slow regeneration of this species means that any timber harvest is unsustainable and despite logging bans the species has not shown any sign of recovery (2). Today the coastal populations appear to be declining although the direct cause is unclear; large tracts of dead white stems have been found although the time of death in many of these stands is unknown (7).,Logging of <em>Fitzroya cupressoides</em> is prohibited throughout the range of this magnificent tree and international trade is banned by its listing on Appendix I of the Convention on International Trade in Endangered Species (CITES) (1). In collaboration with the Royal Botanic Gardens Edinburgh the University of Santiago is carrying out research into the conditions required for regeneration in order to assist propagation of these trees (8). The Global Trees Campaign is also involved in initiatives to restore and conserve remnant forests (6). The alerce has a long history in Chile and it is hoped that these efforts will help to restore the ancient forests to some of their former glory. , ,cites; ,0,1
Plantae,Encephalartos arenarius,Alexandria cycad (Encephalartos arenarius),Plantae,Tracheophyta,Cycadopsida,Cycadales,Zamiaceae,Encephalartos (1),Stem height: 1 - 2 m (2),Although it was once plentiful across its range the Alexandria cycad is now relatively rare in the wild with a population size of just 850 to 1500 mature individuals (1) (2) (7) (8). Although clearance of habitat for farming was the main cause of its decline in the early 20th century in more recent times large numbers of this species have been removed by collectors (7) (8).,There are not known to be any specific conservation measures in place for the Alexandria cycad but it is listed on Appendix I of CITES which permits trade only under exceptional circumstances (3). , ,cites; ,0,1
Plantae,Alloxylon brachycarpum,Alloxylon (Alloxylon brachycarpum),Plantae,Tracheophyta,Magnoliopsida,Proteales,Proteaceae,Alloxylon (1),,[],[] , , ,0,0
Plantae,Aloe brandhamii,Aloe (Aloe brandhamii),Plantae,Tracheophyta,Liliopsida,Liliales,Aloaceae,Aloe (1),,[],[] , , ,0,0
Plantae,Aloe penduliflora,Aloe (Aloe penduliflora),Plantae,Tracheophyta,Liliopsida,Liliales,Aloaceae,Aloe (1),,[],[] , , ,0,0
Plantae,Aloe erinacea,Aloe (Aloe erinacea),Plantae,Tracheophyta,Liliopsida,Liliales,Aloaceae,Aloe (1),,[],[] , , ,0,0
Plantae,Aloe peglerae,Aloe (Aloe peglerae),Plantae,Tracheophyta,Liliopsida,Liliales,Aloaceae,Aloe (1),,[],[] , , ,0,0
Plantae,Aloe kilifiensis,Aloe (Aloe kilifiensis),Plantae,Tracheophyta,Liliopsida,Liliales,Aloaceae,Aloe (1),,[],[] , , ,0,0
Plantae,Aloe ballii,Aloe (Aloe ballii),Plantae,Tracheophyta,Liliopsida,Liliales,Aloaceae,Aloe (1),,[],[] , , ,0,0
Plantae,Alphonsea tsangyuanensis,Alphonsea (Alphonsea tsangyuanensis),Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,Alphonsea (1),,[],[] , , ,0,0
Himalayan musk deer,Moschus chrysogaster,Alpine musk deer (Moschus chrysogaster),Animalia,Chordata,Mammalia,Cetartiodactyla,Moschidae,Moschus (1),Moschus (1),[],[] , , ,0,0
Plantae,Alsophila esmeraldensis,Alsophila (Alsophila esmeraldensis),Plantae,Polypodiophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Alsophila (1),,[],[] , , ,0,0
Plantae,Alstonia annamensis,Alstonia (Alstonia annamensis),Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Alstonia (1),,[],[] , , ,0,0
Animalia,Alasmidonta arcula,Altamaha arcmussel (Alasmidonta arcula),Animalia,Mollusca,Bivalvia,Unionoida,Unionidae,Alasmidonta (1),,[],[] , , ,0,0
Animalia,Alveopora excelsa,Alveopora coral (Alveopora excelsa),Animalia,Cnidaria,Anthozoa,Scleractinia,Poritidae,Alveopora (1),,[],[] , , ,0,0
Animalia,Alveopora minuta,Alveopora coral (Alveopora minuta),Animalia,Cnidaria,Anthozoa,Scleractinia,Poritidae,Alveopora (1),,[],[] , , ,0,0
Animalia,Alzoniella delmastroi,Alzoniella (Alzoniella delmastroi),Animalia,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Alzoniella (1),,[],[] , , ,0,0
Animalia,Pentalagus furnessi,Amami rabbit (Pentalagus furnessi),Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Pentalagus (1),up to 2 kg (3),Widespread habitat degradation has recently occurred on these islands and it is estimated that as little as 5% of the forest cover of 1981 remains (1). In addition predation by introduced mammalian predators such as dogs cats and mongooses poses a further threat to the survival of this species (4). Mongooses were introduced in the 1980s in an attempt to control the number of habu pit vipers (<i>Trimeresurus flavoviridis</i>) on the island; they have however devastated other species\xe2\x80\x99 populations instead (3).,The Amami rabbit is classified as a Japanese National Monument and as such receives protection from hunting and capture (3). However habitat loss is currently the major threat to the survival of this rare species and the protection of remaining forests will be the key to securing the future of both this unique rabbit and other members of Amami\xe2\x80\x99s natural heritage (3). , , ,0,0
Souimanga d'Usambara,Anthreptes pallidigaster,Amani sunbird (Anthreptes pallidigaster),Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Anthreptes (1),Anthreptes (1),[],[] , , ,0,0
Animalia,Anaxyrus nelsoni,Amargosa toad (Anaxyrus nelsoni),Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus (1),,[],[] , , ,0,0
Animalia,Centrolene pipilatum,Amazon giant glass frog (Centrolene pipilatum),Animalia,Chordata,Amphibia,Anura,Centrolenidae,Centrolene (1),,[],[] , , ,0,0
Animalia,Monticola erythronotus,Amber Mountain rock-thrush (Monticola erythronotus),Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Monticola (1),,[],[] , , ,0,0
Animalia,Percina antesella,Amber darter (Percina antesella),Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Percina (1),,[],[] , , ,0,0
Umburana Do Cheiro,Amburana cearensis,Amburana (Amburana cearensis),Plantae,Tracheophyta,Magnoliopsida,Fabales,Leguminosae,Amburana (1),Amburana (1),[],[] , , ,0,0
Animalia,Amolops hongkongensis,Amolops (Amolops hongkongensis),Animalia,Chordata,Amphibia,Anura,Ranidae,Amolops (1),,[],[] , , ,0,0
Animalia,Ampelita fulgurata,Ampelita (Ampelita fulgurata),Animalia,Mollusca,Gastropoda,Stylommatophora,Acavidae,Ampelita (1),,[],[] , , ,0,0
Plantae,Amphitecna molinae,Amphitecna (Amphitecna molinae),Plantae,Tracheophyta,Magnoliopsida,Scrophylariales,Bignoniaceae,Amphitecna (1),,[],[] , , ,0,0
Animalia,Anacropora spinosa,Anacropora coral (Anacropora spinosa),Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Anacropora (1),,[],[] , , ,0,0
Oro de risco,Anagyris latifolia,Anagyris (Anagyris latifolia),Plantae,Tracheophyta,Magnoliopsida,Fabales,Leguminosae,Anagyris (1),Anagyris (1),[],[] , , ,0,0
Anaxagorea costaricensis,Anaxagorea phaeocarpa,Anaxagorea (Anaxagorea phaeocarpa),Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,Anaxagorea (1),Anaxagorea (1),[],[] , , ,0,0
Animalia,Hemiphlebia mirabilis,Ancient greenling (Hemiphlebia mirabilis),Animalia,Arthropoda,Insecta,Odonata,Hemiphlebiidae,Hemiphlebia (1),,[],[] , , ,0,0
Rhinolophus famulus,Rhinolophus cognatus,Andaman horseshoe bat (Rhinolophus cognatus),Animalia,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinoplophus (1),Rhinoplophus (1),[],[] , , ,0,0
Andean mountain cat; mountain cat.,Leopardus jacobita,Andean cat (Leopardus jacobita),Animalia,Chordata,Mammalia,Carnivora,Felidae,Oreailurus (1),4 kg (2),It is not clear whether the rarity of the Andean cat is a natural phenomenon or attributable to human actions. Alternatively it may simply be a misperception resulting from lack of observations (2). Pelts of this species have been seen in local markets occasionally killed by herders who carry guns (2). The high Andean Indians appear to have little knowledge of this species and the only pelts observed to be used in local ceremonies have been those of the pampas cat (5). There are no records of international trade of this species either. It is therefore thought that hunting of the Andean cat is primarily carried out to protect local cattle (1). The common threat of habitat destruction common worldwide does not apply here as there have been no significant changes in land-use of the high Andes over the last 2000 years. If anything the human population has decreased in these regions (2).,International trade of this species is prohibited by its listing on Appendix I of CITES (3) and according to national legislation the Andean cat is fully protected throughout its range (2). There is a huge gap in our knowledge of this species and how to best protect it. However since the publication of the Cat Action Treasury Plan there have been substantial increases in research efforts (1) (7). The Cat Action Treasury has sponsored surveys to determine the status of this species and improve our understanding of this cat in order to inform conservation measures (8). These surveys confirmed the rarity of this species. The Andean cat has been upgraded from Vulnerable to Endangered on the IUCN Red List (1) (7). It has been suggested by the Andean Cat Alliance (AGA) previously the Committee for the Conservation of the Andean Cat (COCGA) that because this cat needs large areas to live successfully and its range extends over the Andes through international borders a multinational cooperative approach is necessary for its long-term conservation (5). AGA has launched a multinational project to collate and analyse data on the on the Andean cat in order to initiate immediate conservation efforts and in 2004 a conservation action plan was drawn up for the species. The fact that there are no captive specimens or breeding programmes for the Andean cat means that the survival of this species depends on the development and success of these conservation measures (5). ,hunting; ,cites;protected; ,1,2
Plantae,Ceroxylon alpinum,Andean wax palm (Ceroxylon alpinum),Plantae,Tracheophyta,Liliopsida,Arecales,Palmae,Ceroxylon (1),,[],[] , , ,0,0
Andersonâs newt; Ryukyu spiny newt,Echinotriton andersoni,Andersonâs crocodile newt (Echinotriton andersoni),Animalia,Chordata,Amphibia,Caudata,Salamandridae,Echinotriton (1),Echinotriton (1),[],[] , , ,0,0
Lake Junin frog,Telmatobius macrostomus,Andes smooth frog (Telmatobius macrostomus),Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Telmatobius (1),Telmatobius (1),[],[] , , ,0,0
Mantidactylus brygoomantis madecassus; Rhacophorus philautus madecassus,Mantidactylus madecassus,Andringitra Madagascar frog (Mantidactylus madecassus),Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantidactylus (1),Mantidactylus (1),[],[] , , ,0,0
Plantae,Andropogon scabriglumis,Andropogon (Andropogon scabriglumis),Plantae,Tracheophyta,Liliopsida,Cyperales,Gramineae,Andropogon (1),,[],[] , , ,0,0
Plantae,Anemone jamesonii,Anemone (Anemone jamesonii),Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Anemone (1),,[],[] , , ,0,0
Mantidactylus microtympanum,Boehmantis microtympanum,Angelâs Madagascar frog (Boehmantis microtympanum),Animalia,Chordata,Amphibia,Anura,Mantellidae,Boehmantis (1),Male length: 5.3 cm (2)Female length: 7.6 cm (2),Owing to its restricted range Angel\xe2\x80\x99s Madagascar frog is highly vulnerable to the ongoing large-scale degradation and destruction of forest that is occurring in south-east Madagascar. Although this species remains relatively abundant at some localities a multitude of threats including expanding human settlements agriculture logging livestock grazing charcoal manufacture and the spread of invasive eucalyptus are causing its population to decline. The pressures have already proven severe enough to cause local extinctions around Fort Dauphin near the southern limit of the Angel\xe2\x80\x99s Madagascar frog\xe2\x80\x99s range (1).,While there are no known conservation measures specifically targeting Angel\xe2\x80\x99s Madagascar frog it is found in two protected areas the Andohahela and Midongy-du-Sud National Parks (1). Nevertheless increased protection of this species\xe2\x80\x99 habitat along with educational programs to inform local people of how best to manage the forests sustainably are vital measures that must be implemented if Angel\xe2\x80\x99s Madagascar frog is to be conserved (6). ,invasive; ,protected; ,1,1
Plantae,Angkalanthus oligophylla,Angkalanthus (Angkalanthus oligophylla),Plantae,Tracheophyta,Magnoliopsida,Scrophulariales,Acanthaceae,Angkalanthus (1),,[],[] , , ,0,0
Blind swamp eel,Ophisternon infernale,Anguila ciega (Ophisternon infernale),Animalia,Chordata,Actinopterygii,Synbranchiformes,Synbranchidae,Ophisternon (1),Length: up to at least 32.5 cm (2),The main threats to this species are various forms of water pollution caused by humans. In rural areas sewage is rarely treated before being discarded and industrial and domestic waste is sometimes disposed of in caves. Another threat comes from over-harvesting of freshwater which may lead to <strong>saline waters</strong> creeping into the normally freshwater zone. The human population of the Yucatan peninsula is growing so a greater and greater strain on water resources can be expected in the future. Another potential threat is the modification and/or the intensive use of this fish\xe2\x80\x99s habitat by humans for recreational or tourism purposes (2).,There are currently no conservation measures targeting the Anguila ciega. ,pollution; , ,1,0
